,fund_code,trade_time,trade_date,open,high,low,close,volume,amount,change,change_pct
0,510300,2012-05-28 00:00:00,2012-05-28,1.794,1.850,1.787,1.847,1277518760,3285755300.000,,
1,510300,2012-05-29 00:00:00,2012-05-29,1.845,1.904,1.845,1.887,714949000,1875593300.000,0.04,2.166
2,510300,2012-05-30 00:00:00,2012-05-30,1.885,1.890,1.876,1.879,265887190,701725780.000,-0.008,-0.424
3,510300,2012-05-31 00:00:00,2012-05-31,1.864,1.888,1.856,1.873,178155980,468193100.000,-0.006,-0.319
4,510300,2012-06-01 00:00:00,2012-06-01,1.872,1.903,1.863,1.873,179350030,473477190.000,0.0,0.0
5,510300,2012-06-04 00:00:00,2012-06-04,1.844,1.847,1.798,1.801,546074270,1413413500.000,-0.072,-3.844
6,510300,2012-06-05 00:00:00,2012-06-05,1.805,1.815,1.799,1.804,127167495,326150600.000,0.003,0.167
7,510300,2012-06-06 00:00:00,2012-06-06,1.806,1.817,1.791,1.802,136922720,350839410.000,-0.002,-0.111
8,510300,2012-06-07 00:00:00,2012-06-07,1.821,1.826,1.779,1.786,336424010,860028320.000,-0.016,-0.888
9,510300,2012-06-08 00:00:00,2012-06-08,1.801,1.803,1.773,1.777,210182210,534630030.000,-0.009,-0.504
10,510300,2012-06-11 00:00:00,2012-06-11,1.786,1.820,1.779,1.807,225455590,576327100.000,0.03,1.688
11,510300,2012-06-12 00:00:00,2012-06-12,1.793,1.805,1.781,1.791,157723720,401878820.000,-0.016,-0.885
12,510300,2012-06-13 00:00:00,2012-06-13,1.803,1.831,1.793,1.828,188133560,483872800.000,0.037,2.066
13,510300,2012-06-14 00:00:00,2012-06-14,1.823,1.841,1.814,1.817,152554660,394044030.000,-0.011,-0.602
14,510300,2012-06-15 00:00:00,2012-06-15,1.825,1.837,1.800,1.827,159835260,411542170.000,0.01,0.55
15,510300,2012-06-18 00:00:00,2012-06-18,1.832,1.851,1.831,1.835,132126533,342959050.000,0.008,0.438
16,510300,2012-06-19 00:00:00,2012-06-19,1.833,1.833,1.815,1.816,105011686,270933100.000,-0.019,-1.035
17,510300,2012-06-20 00:00:00,2012-06-20,1.823,1.830,1.813,1.813,119277367,307520550.000,-0.003,-0.165
18,510300,2012-06-21 00:00:00,2012-06-21,1.806,1.807,1.760,1.773,179224170,453655580.000,-0.04,-2.206
