"f2","f14","f18","f31","f32","f108","f161","f163","f249","f250","f301","f303","f325","f326","f328","f333","f334"
0.1705,"50ETF购12月2950",0.1673,0.1685,0.1718,8749,2.95,690,14.65,0.24,20251224,17.05,0.9341,1.1196,-0.1348,"上证50ETF",3.113
0.2988,"50ETF购3月2850",0.2988,0.2882,0.2968,827,2.85,0,16.48,1.15,20260325,9.3,0.8927,0.7715,-0.1007,"上证50ETF",3.113
0.2545,"50ETF购3月2900",0.2501,0.2471,0.2554,2078,2.9,8,15.58,1.33,20260325,10.34,0.845,0.9957,-0.1192,"上证50ETF",3.113
0.572,"50ETF购12月2550",0.572,0.5607,0.5663,520,2.55,0,43.95,0.29,20251224,5.44,1,0,-0.0331,"上证50ETF",3.113
0.3169,"50ETF购12月2800",0.3119,0.3126,0.317,3418,2.8,1,19.34,0.13,20251224,9.81,0.9983,0.0482,-0.0406,"上证50ETF",3.113
0.218,"50ETF购12月2900",0.2146,0.2167,0.218,6851,2.9,217,15.43,0.16,20251224,13.93,0.9757,0.4989,-0.0809,"上证50ETF",3.113
0.2682,"50ETF购12月2850",0.2617,0.2639,0.2692,2796,2.85,11,18.75,0.17,20251224,11.52,0.9927,0.1756,-0.0523,"上证50ETF",3.113
0.1819,"50ETF购1月2950",0.1803,0.1791,0.1839,358,2.95,236,12.99,0.61,20260128,14.53,0.8491,1.3492,-0.1515,"上证50ETF",3.113
0.3845,"50ETF购3月2750",0.3845,0.3765,0.3858,1020,2.75,0,16.16,0.69,20260325,7.74,0.956,0.3891,-0.0682,"上证50ETF",3.113
0.2263,"50ETF购1月2900",0.2305,0.223,0.2283,616,2.9,598,13.28,0.43,20260128,12.52,0.9098,0.9378,-0.117,"上证50ETF",3.113
0.1404,"50ETF购1月3000",0.1396,0.1387,0.1422,630,3,123,12.65,0.88,20260128,17.02,0.7676,1.7602,-0.1852,"上证50ETF",3.113
0.5156,"50ETF购12月2600",0.5156,0.5112,0.5164,486,2.6,0,21.88,0.08,20251224,6.04,1,0,-0.0338,"上证50ETF",3.113
0.4305,"50ETF购3月2700",0.4283,0.4229,0.4324,2045,2.7,14,16.11,0.56,20260325,7.04,0.9741,0.2517,-0.0562,"上证50ETF",3.113
0.2141,"50ETF购3月2950",0.2131,0.2086,0.2164,2249,2.95,-31,15.11,1.64,20260325,11.43,0.786,1.2173,-0.137,"上证50ETF",3.113
0.3653,"50ETF购12月2750",0.3617,0.3645,0.3672,1852,2.75,75,0,0.07,20251224,8.52,0.9997,0.0102,-0.0366,"上证50ETF",3.113
0.1888,"50ETF沽12月3300",0.1864,0.1874,0.1888,13206,3.3,-415,15.19,0.06,20251224,15.47,-0.9383,1.0621,-0.0535,"上证50ETF",3.113
0.1226,"50ETF购12月3000",0.1221,0.1226,0.1229,29475,3,637,12.4,0.31,20251224,21.66,0.8531,2.008,-0.2108,"上证50ETF",3.113
0.0881,"50ETF购6月3300",0.0878,0.0854,0.0883,1335,3.3,5,16.2,8.84,20260624,11.58,0.3278,1.1338,-0.1128,"上证50ETF",3.113
0.29,"50ETF购6月2900",0.291,0.2799,0.2925,877,2.9,1,15.84,2.47,20260624,8.51,0.793,0.8972,-0.108,"上证50ETF",3.113
0.0745,"50ETF购1月3100",0.0743,0.073,0.0747,4760,3.1,1361,12.56,1.98,20260128,23.26,0.5567,2.276,-0.2231,"上证50ETF",3.113
0.6136,"50ETF购12月2500",0.613,0.6106,0.6131,1056,2.5,-33,0,0.02,20251224,5.07,1,0,-0.0325,"上证50ETF",3.113
0.4139,"50ETF购12月2700",0.4121,0.412,0.4167,1414,2.7,-2,0,0.03,20251224,7.52,1,0.0016,-0.0352,"上证50ETF",3.113
0.4633,"50ETF购12月2650",0.4677,0.4614,0.4664,824,2.65,-1,0,0.01,20251224,6.72,1,0.0002,-0.0344,"上证50ETF",3.113
0.0013,"50ETF沽12月2750",0.0013,0.001,0.0013,13897,2.75,-310,22.27,11.7,20251224,0.48,-0.0002,0.0102,-0.0008,"上证50ETF",3.113
0.0011,"50ETF沽12月2700",0.0011,0.0009,0.0012,19064,2.7,60,24.61,13.3,20251224,0,0,0.0016,0,"上证50ETF",3.113
0.0008,"50ETF沽12月2650",0.0008,0.0006,0.0009,10393,2.65,-16,26.17,14.9,20251224,0,0,0.0002,0,"上证50ETF",3.113
0.0005,"50ETF沽12月2500",0.0005,0.0005,0.0006,17118,2.5,182,32.81,19.71,20251224,0,0,0,0,"上证50ETF",3.113
0.3364,"50ETF购3月2800",0.3495,0.3317,0.3406,1247,2.8,15,14.99,0.75,20260325,8.6,0.9294,0.5646,-0.0833,"上证50ETF",3.113
0.1641,"50ETF购6月3100",0.1645,0.1616,0.1665,1270,3.1,62,15.56,4.85,20260624,10.73,0.5655,1.2354,-0.1304,"上证50ETF",3.113
0.326,"50ETF沽6月3400",0.3288,0.3218,0.333,1638,3.4,-1,16.64,1.25,20260624,7.35,-0.7695,0.954,-0.0493,"上证50ETF",3.113
0.1773,"50ETF购3月3000",0.178,0.1751,0.1789,3811,3,190,14.82,2.07,20260325,12.59,0.7171,1.4134,-0.152,"上证50ETF",3.113
0.0477,"50ETF购12月3100",0.0479,0.0476,0.0477,93169,3.1,7856,11.62,1.11,20251224,36.74,0.5629,3.4408,-0.3269,"上证50ETF",3.113
0.4928,"50ETF沽6月3600",0.495,0.4903,0.5,2353,3.6,0,17.26,0.19,20260624,5.7,-0.9025,0.5406,-0.005,"上证50ETF",3.113
0.063,"50ETF购6月3400",0.0633,0.0625,0.0634,2631,3.4,74,16.48,11.24,20260624,11.38,0.2304,0.954,-0.0933,"上证50ETF",3.113
0.486,"50ETF沽3月3600",0.4807,0.4815,0.4911,1536,3.6,0,18.36,-0.03,20260325,6.17,-0.9637,0.3316,0.0159,"上证50ETF",3.113
