"f2","f14","f18","f31","f32","f108","f161","f163","f249","f250","f301","f303","f325","f326","f328","f333","f334"
0.008,"XD50ETF购12月3100",0.0034,0.008,0.0081,10780,3.1,"-",12.6,1.64,20251224,95.75,0.2505,5.3177,-0.444,"XD上证50ETF",3.058
0.0632,"XD50ETF购12月3000",0.0282,0.0632,0.0633,5527,3,"-",12.6,0.17,20251224,40.75,0.8421,4.0314,-0.362,"XD上证50ETF",3.058
0.0002,"XD50ETF沽12月2435A",0.0003,0.0001,0.0003,17027,2.435,-282,56.25,20.38,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0459,"XD50ETF购12月3020A",0.0245,0.0456,0.0459,57721,3.02,-56058,11.72,0.26,20251224,49.73,0.7465,5.3505,-0.466,"XD上证50ETF",3.058
0.0138,"XD50ETF购1月3200",0.008,0.0136,0.014,5686,3.2,"-",13.67,5.09,20260128,38.25,0.1726,1.8421,-0.1571,"XD上证50ETF",3.058
0.0063,"XD50ETF购1月3300",0.0037,0.0062,0.0063,6828,3.3,"-",15.58,8.12,20260128,25.43,0.0524,0.7713,-0.0649,"XD上证50ETF",3.058
0.0038,"XD50ETF购1月3400",0.0024,0.0038,0.0039,2226,3.4,"-",18.07,11.31,20260128,9.09,0.0113,0.2135,-0.0178,"XD上证50ETF",3.058
0.0037,"XD50ETF购1月3410A",0.0025,0.0036,0.0037,8219,3.41,-67,18.36,11.63,20260128,7.85,0.0095,0.1838,-0.0153,"XD上证50ETF",3.058
0.0057,"XD50ETF购1月3312A",0.0038,0.0056,0.0058,16089,3.312,221,15.77,8.49,20260128,23.77,0.0443,0.6752,-0.0568,"XD上证50ETF",3.058
0.0115,"XD50ETF购1月3215A",0.0078,0.0113,0.0116,27563,3.215,-3452,13.67,5.51,20260128,39.22,0.1475,1.6624,-0.1414,"XD上证50ETF",3.058
0.0362,"XD50ETF购1月3100",0.025,0.0362,0.0366,8453,3.1,"-",12.52,2.56,20260128,34.09,0.4036,2.7919,-0.2435,"XD上证50ETF",3.058
0.1081,"XD50ETF购12月2950",0.075,0.1081,0.109,1913,2.95,"-",0,0,20251224,27.4,0.9687,1.1773,-0.1334,"XD上证50ETF",3.058
0.0298,"XD50ETF购1月3117A",0.0218,0.0297,0.0302,34147,3.117,-8048,12.43,2.9,20260128,36.71,0.3577,2.6913,-0.2335,"XD上证50ETF",3.058
0.0042,"XD50ETF购12月3117A",0.0031,0.0042,0.0043,114939,3.117,-34673,12.11,2.07,20251224,124.14,0.1705,4.2372,-0.3526,"XD上证50ETF",3.058
0.0026,"XD50ETF购1月3507A",0.0018,0.0024,0.0026,3790,3.507,-602,20.8,14.77,20260128,1.76,0.0015,0.0356,-0.0029,"XD上证50ETF",3.058
0.1356,"XD50ETF购12月2923A",0.1028,0.1347,0.1356,14576,2.923,-7346,0,0.02,20251224,22.33,0.9902,0.4393,-0.0737,"XD上证50ETF",3.058
0.0004,"XD50ETF购12月3507A",0.0003,0.0003,0.0004,24181,3.507,-82,37.5,14.7,20251224,0,0,0,0,"XD上证50ETF",3.058
0.0751,"XD50ETF购1月3020A",0.0583,0.0751,0.0752,26461,3.02,-6566,12.26,1.21,20260128,25.66,0.6302,2.7217,-0.2463,"XD上证50ETF",3.058
0.0873,"XD50ETF购1月3000",0.0677,0.0874,0.0884,8189,3,"-",12.04,0.96,20260128,23.96,0.684,2.5647,-0.2355,"XD上证50ETF",3.058
0.0009,"XD50ETF购12月3200",0.0007,0.0008,0.001,3159,3.2,"-",16.41,4.67,20251224,36.7,0.0108,0.4783,-0.0394,"XD上证50ETF",3.058
0.0009,"XD50ETF购12月3215A",0.0007,0.0008,0.0009,68570,3.215,-5181,17.58,5.16,20251224,19.03,0.0056,0.2685,-0.022,"XD上证50ETF",3.058
0.0123,"XD50ETF购3月3507A",0.0099,0.0123,0.0127,19475,3.507,37,18.65,15.09,20260325,7.06,0.0284,0.3091,-0.0262,"XD上证50ETF",3.058
0.0283,"XD50ETF购3月3300",0.0222,0.0276,0.029,1420,3.3,"-",16.09,8.84,20260325,16.61,0.1537,1.1261,-0.0978,"XD上证50ETF",3.058
0.018,"XD50ETF购3月3400",0.0142,0.0179,0.018,3218,3.4,"-",17.16,11.77,20260325,12.38,0.0729,0.6583,-0.0565,"XD上证50ETF",3.058
0.1566,"XD50ETF购12月2900",0.1249,0.1561,0.1605,324,2.9,"-",0,-0.05,20251224,19.47,0.9969,0.1579,-0.0506,"XD上证50ETF",3.058
0.0475,"XD50ETF购3月3200",0.0379,0.0463,0.0487,1485,3.2,"-",15.33,6.2,20260325,18.23,0.2832,1.6082,-0.1421,"XD上证50ETF",3.058
0.1255,"XD50ETF购1月2950",0.1009,0.123,0.1266,1083,2.95,"-",12.28,0.57,20260128,19.55,0.8022,2.0052,-0.1941,"XD上证50ETF",3.058
0.0175,"XD50ETF购3月3410A",0.0146,0.0175,0.018,15588,3.41,-662,17.36,12.08,20260325,11.74,0.0672,0.6181,-0.053,"XD上证50ETF",3.058
0.1475,"XD50ETF购1月2923A",0.1238,0.1453,0.1475,5552,2.923,-2189,12.06,0.41,20260128,17.7,0.8536,1.6536,-0.1671,"XD上证50ETF",3.058
0.1819,"XD50ETF购12月2874A",0.1507,0.1817,0.1862,2028,2.874,-1447,0,-0.07,20251224,16.8,0.9993,0.0403,-0.0408,"XD上证50ETF",3.058
0.0777,"XD50ETF购3月3100",0.0643,0.0781,0.0802,1292,3.1,"-",14.47,3.91,20260325,17.92,0.4553,1.8837,-0.171,"XD上证50ETF",3.058
0.0268,"XD50ETF购3月3312A",0.0228,0.0268,0.0277,11739,3.312,-528,16.21,9.18,20260325,16.16,0.1416,1.0656,-0.0924,"XD上证50ETF",3.058
0.0434,"XD50ETF购3月3215A",0.0373,0.0434,0.0438,12292,3.215,-917,15.34,6.55,20260325,18.36,0.2606,1.5431,-0.1359,"XD上证50ETF",3.058
0.2184,"XD50ETF购1月2850",0.1829,0.2114,0.2165,58,2.85,"-",15.28,0.34,20260128,13.25,0.9463,0.7873,-0.0993,"XD上证50ETF",3.058
0.166,"XD50ETF购1月2900",0.1392,0.167,0.1705,1653,2.9,"-",10.84,0.26,20260128,16.4,0.89,1.356,-0.144,"XD上证50ETF",3.058
0.0714,"XD50ETF购3月3117A",0.0623,0.0714,0.0744,10551,3.117,-502,14.6,4.26,20260325,18.16,0.424,1.8611,-0.168,"XD上证50ETF",3.058
0.2057,"XD50ETF购12月2850",0.1749,0.2054,0.21,36,2.85,"-",0,-0.08,20251224,14.86,0.9999,0.0093,-0.038,"XD上证50ETF",3.058
0.19,"XD50ETF购1月2874A",0.1663,0.1893,0.1943,9427,2.874,-152,10.35,0.2,20260128,14.85,0.9229,1.0422,-0.1194,"XD上证50ETF",3.058
0.1262,"XD50ETF购3月3000",0.1077,0.1242,0.1318,718,3,"-",13.95,2.23,20260325,15.56,0.6422,1.7739,-0.1689,"XD上证50ETF",3.058
0.2402,"XD50ETF购1月2825A",0.2108,0.2376,0.2419,1808,2.825,-356,14.16,0.24,20260128,12.28,0.9644,0.5651,-0.0815,"XD上证50ETF",3.058
0.1147,"XD50ETF购3月3020A",0.1008,0.1151,0.1202,7647,3.02,-349,14,2.51,20260325,16.14,0.6055,1.8289,-0.172,"XD上证50ETF",3.058
0.2301,"XD50ETF购12月2825A",0.202,0.2305,0.2338,2282,2.825,-537,0,-0.09,20251224,13.29,1,0.0016,-0.037,"XD上证50ETF",3.058
0.1955,"XD50ETF购3月2900",0.1687,0.1909,0.1991,430,2.9,"-",14.01,1.23,20260325,12.58,0.8042,1.3131,-0.1368,"XD上证50ETF",3.058
0.2603,"XD50ETF购12月2800",0.2248,0.2554,0.262,39,2.8,"-",31.25,0.08,20251224,11.75,1,0.0002,-0.0366,"XD上证50ETF",3.058
0.1775,"XD50ETF购3月2923A",0.1578,0.1741,0.1806,3847,2.923,-192,13.87,1.39,20260325,13.28,0.771,1.4393,-0.146,"XD上证50ETF",3.058
0.2165,"XD50ETF购3月2874A",0.1925,0.2107,0.2164,1724,2.874,-74,14.16,1.06,20260325,11.84,0.8384,1.1638,-0.1257,"XD上证50ETF",3.058
0.2827,"XD50ETF购3月2800",0.2454,0.2718,0.2806,61,2.8,"-",15.41,0.81,20260325,9.89,0.9142,0.7449,-0.0937,"XD上证50ETF",3.058
0.158,"XD50ETF购3月2950",0.1373,0.1555,0.1634,672,2.95,"-",13.82,1.64,20260325,14.1,0.7286,1.5752,-0.1557,"XD上证50ETF",3.058
0.1239,"XD50ETF购6月3100",0.108,0.1239,0.1287,514,3.1,"-",15.19,5.43,20260624,12.11,0.4905,1.3679,-0.1298,"XD上证50ETF",3.058
0.064,"XD50ETF购6月3300",0.0558,0.0625,0.0668,99,3.3,"-",16.32,10.01,20260624,11.87,0.2484,1.0861,-0.098,"XD上证50ETF",3.058
0.0884,"XD50ETF购6月3200",0.0772,0.0866,0.0926,296,3.2,"-",15.65,7.53,20260624,12.47,0.3606,1.2839,-0.1183,"XD上证50ETF",3.058
0.311,"XD50ETF购6月2800",0.2719,0.2977,0.3073,619,2.8,"-",15.17,1.73,20260624,8.37,0.8517,0.7937,-0.0949,"XD上证50ETF",3.058
0.2874,"XD50ETF购1月2776A",0.2584,0.282,0.2899,813,2.776,-63,14.06,0.18,20260128,10.49,0.9857,0.2616,-0.057,"XD上证50ETF",3.058
0.2817,"XD50ETF购12月2776A",0.2517,0.2792,0.2842,1609,2.776,-301,0,-0.01,20251224,10.86,1,0,-0.0363,"XD上证50ETF",3.058
0.2335,"XD50ETF购3月2850",0.2053,0.23,0.2385,175,2.85,"-",13.43,0.83,20260325,11.35,0.8664,1.0242,-0.1152,"XD上证50ETF",3.058
0.162,"XD50ETF购6月3020A",0.1462,0.1564,0.1626,2598,3.02,710,14.99,4.05,20260624,11.3,0.5988,1.3261,-0.1302,"XD上证50ETF",3.058
0.27,"XD50ETF购6月2850",0.2393,0.2608,0.2706,4,2.85,"-",14.73,2.03,20260624,9.11,0.8046,0.9469,-0.106,"XD上证50ETF",3.058
0.0467,"XD50ETF购6月3400",0.0415,0.0467,0.0482,295,3.4,"-",17.02,12.71,20260624,10.5,0.1604,0.836,-0.0743,"XD上证50ETF",3.058
0.3315,"XD50ETF购12月2728A",0.2975,0.3267,0.3319,2688,2.728,-263,35.16,0.05,20251224,9.22,1,0,-0.0356,"XD上证50ETF",3.058
0.117,"XD50ETF购6月3117A",0.1073,0.116,0.1217,3240,3.117,-42,15.26,5.76,20260624,12.22,0.4676,1.3638,-0.1287,"XD上证50ETF",3.058
0.173,"XD50ETF购6月3000",0.1543,0.171,0.1763,242,3,"-",14.98,3.76,20260624,11.06,0.6255,1.3,-0.129,"XD上证50ETF",3.058
0.2529,"XD50ETF购3月2825A",0.2292,0.2504,0.2591,1871,2.825,-67,12.74,0.65,20260325,10.79,0.8921,0.8814,-0.1043,"XD上证50ETF",3.058
0.085,"XD50ETF购6月3215A",0.0769,0.0821,0.0872,2641,3.215,-11,15.84,7.91,20260624,12.32,0.3424,1.2601,-0.1157,"XD上证50ETF",3.058
0.3844,"XD50ETF购12月2679A",0.3475,0.376,0.3814,1404,2.679,-70,53.91,0.18,20251224,7.96,1,0,-0.035,"XD上证50ETF",3.058
0.2308,"XD50ETF购6月2900",0.2073,0.2266,0.2362,345,2.9,"-",14.27,2.38,20260624,9.94,0.7504,1.0891,-0.116,"XD上证50ETF",3.058
0.2587,"XD50ETF购1月2800",0.2328,0.2607,0.2641,227,2.8,"-",0,0.02,20260128,11.55,0.9772,0.3893,-0.0674,"XD上证50ETF",3.058
