code,date,open,high,low,close,volumn
159901,2006-04-24,0.897,0.917,0.87,0.895,1062942909.0
159901,2006-04-25,0.885,0.916,0.879,0.903,428017769.0
159901,2006-04-26,0.901,0.928,0.9,0.918,288141869.0
159901,2006-04-27,0.925,0.939,0.913,0.933,144454694.0
159901,2006-04-28,0.923,0.955,0.906,0.952,120049223.0
159901,2006-05-08,0.951,1.002,0.948,1.001,101122622.0
159901,2006-05-09,1.001,1.036,1.001,1.032,104677491.0
159901,2006-05-10,1.031,1.063,1.021,1.053,159407571.0
159901,2006-05-11,1.048,1.073,1.026,1.027,103039764.0
159901,2006-05-12,1.023,1.071,1.018,1.071,120431691.0
159901,2006-05-15,1.072,1.141,1.071,1.14,108454749.0
159901,2006-05-16,1.135,1.185,1.095,1.113,107507493.0
159901,2006-05-17,1.109,1.145,1.087,1.114,86127112.0
159901,2006-05-18,1.097,1.13,1.085,1.115,37754602.0
159901,2006-05-19,1.106,1.154,1.105,1.146,97002878.0
159901,2006-05-22,1.147,1.168,1.125,1.149,70251182.0
159901,2006-05-23,1.136,1.145,1.087,1.091,67932327.0
159901,2006-05-24,1.094,1.126,1.066,1.084,30058549.0
159901,2006-05-25,1.083,1.101,1.066,1.079,23375859.0
159901,2006-05-26,1.094,1.116,1.085,1.115,46851687.0
159901,2006-05-29,1.115,1.155,1.107,1.154,40779065.0
159901,2006-05-30,1.157,1.168,1.146,1.158,32455342.0
159901,2006-05-31,1.153,1.172,1.14,1.145,36395264.0
159901,2006-06-01,1.136,1.185,1.136,1.181,38823138.0
159901,2006-06-02,1.177,1.185,1.149,1.155,46222519.0
159901,2006-06-05,1.155,1.172,1.143,1.172,65129482.0
159901,2006-06-06,1.15,1.184,1.15,1.167,26365253.0
159901,2006-06-07,1.164,1.167,1.095,1.1,54810252.0
159901,2006-06-08,1.102,1.103,1.07,1.092,37917758.0
159901,2006-06-09,1.091,1.102,1.071,1.075,32335867.0
159901,2006-06-12,1.069,1.08,1.046,1.072,20515853.0
159901,2006-06-13,1.073,1.088,1.063,1.073,21630811.0
159901,2006-06-14,1.072,1.072,1.049,1.064,68612620.0
159901,2006-06-15,1.062,1.076,1.057,1.061,31937617.0
159901,2006-06-16,1.065,1.094,1.065,1.093,20021811.0
159901,2006-06-19,1.08,1.125,1.078,1.118,44217056.0
159901,2006-06-20,1.125,1.125,1.095,1.117,26690417.0
159901,2006-06-21,1.12,1.124,1.098,1.114,36895608.0
159901,2006-06-22,1.118,1.12,1.103,1.107,18199035.0
159901,2006-06-23,1.107,1.12,1.102,1.118,24469391.0
159901,2006-06-26,1.118,1.15,1.108,1.147,27002662.0
159901,2006-06-27,1.143,1.155,1.142,1.149,15045556.0
159901,2006-06-28,1.145,1.154,1.141,1.146,19525527.0
159901,2006-06-29,1.146,1.187,1.146,1.184,31259804.0
159901,2006-06-30,1.187,1.198,1.177,1.185,16463443.0
159901,2006-07-03,1.19,1.215,1.185,1.207,25685331.0
159901,2006-07-04,1.209,1.215,1.185,1.192,21633935.0
159901,2006-07-05,1.193,1.193,1.165,1.183,22563726.0
159901,2006-07-06,1.183,1.212,1.183,1.21,17866415.0
159901,2006-07-07,1.214,1.224,1.199,1.202,11948804.0
159901,2006-07-10,1.199,1.207,1.19,1.205,7636560.0
159901,2006-07-11,1.207,1.211,1.2,1.209,9210848.0
159901,2006-07-12,1.209,1.231,1.209,1.22,14107111.0
159901,2006-07-13,1.209,1.219,1.115,1.145,49901408.0
159901,2006-07-14,1.137,1.174,1.135,1.158,75807773.0
159901,2006-07-17,1.154,1.172,1.136,1.168,14248426.0
159901,2006-07-18,1.165,1.175,1.16,1.174,4521952.0
159901,2006-07-19,1.17,1.17,1.126,1.137,18442994.0
159901,2006-07-20,1.137,1.158,1.132,1.139,2976043.0
159901,2006-07-21,1.137,1.155,1.136,1.15,4054914.0
159901,2006-07-24,1.149,1.154,1.125,1.15,7055943.0
159901,2006-07-25,1.152,1.176,1.15,1.169,8502086.0
159901,2006-07-26,1.17,1.178,1.168,1.168,5567648.0
159901,2006-07-27,1.168,1.171,1.141,1.15,5016630.0
159901,2006-07-28,1.15,1.154,1.115,1.127,12237007.0
159901,2006-07-31,1.125,1.125,1.076,1.08,10006905.0
159901,2006-08-01,1.078,1.092,1.061,1.065,7355749.0
159901,2006-08-02,1.066,1.079,1.037,1.055,4681079.0
159901,2006-08-03,1.056,1.064,1.043,1.049,4119900.0
159901,2006-08-04,1.05,1.054,1.021,1.021,7617632.0
159901,2006-08-07,1.022,1.022,0.999,1.001,24106975.0
159901,2006-08-08,1.014,1.035,1.008,1.035,4889259.0
159901,2006-08-09,1.033,1.037,1.026,1.031,3599365.0
159901,2006-08-10,1.03,1.049,1.03,1.048,7172812.0
159901,2006-08-11,1.049,1.054,1.04,1.049,13504835.0
159901,2006-08-14,1.054,1.057,1.025,1.029,5761917.0
159901,2006-08-15,1.026,1.045,1.021,1.044,2621288.0
159901,2006-08-16,1.048,1.07,1.041,1.064,3910798.0
159901,2006-08-17,1.061,1.061,1.045,1.051,3079904.0
159901,2006-08-18,1.051,1.061,1.047,1.049,2525432.0
159901,2006-08-21,1.025,1.047,1.003,1.046,5292847.0
159901,2006-08-22,1.05,1.07,1.046,1.065,5160668.0
159901,2006-08-23,1.064,1.079,1.06,1.065,2541238.0
159901,2006-08-24,1.065,1.07,1.058,1.069,2468070.0
159901,2006-08-25,1.066,1.083,1.066,1.075,3567096.0
159901,2006-08-28,1.078,1.115,1.077,1.111,3816044.0
159901,2006-08-29,1.113,1.145,1.113,1.12,8048391.0
159901,2006-08-30,1.115,1.129,1.107,1.125,6096907.0
159901,2006-08-31,1.127,1.14,1.123,1.134,14352055.0
159901,2006-09-01,1.135,1.137,1.105,1.115,5556629.0
159901,2006-09-04,1.114,1.134,1.112,1.133,4129813.0
159901,2006-09-05,1.136,1.139,1.125,1.127,3517048.0
159901,2006-09-06,1.128,1.131,1.119,1.128,3645566.0
159901,2006-09-07,1.128,1.13,1.11,1.111,2199673.0
159901,2006-09-08,1.108,1.123,1.108,1.11,1779036.0
159901,2006-09-11,1.106,1.117,1.099,1.114,2172923.0
159901,2006-09-12,1.115,1.131,1.115,1.131,12115820.0
159901,2006-09-13,1.132,1.135,1.122,1.125,7691732.0
159901,2006-09-14,1.115,1.12,1.099,1.105,7591389.0
159901,2006-09-15,1.112,1.135,1.105,1.135,8757082.0
159901,2006-09-18,1.136,1.163,1.133,1.162,8842286.0
159901,2006-09-19,1.151,1.164,1.146,1.151,2932264.0
159901,2006-09-20,1.149,1.16,1.135,1.152,11359586.0
159901,2006-09-21,1.147,1.167,1.147,1.159,14677281.0
159901,2006-09-22,1.16,1.169,1.149,1.149,6297248.0
159901,2006-09-25,1.146,1.168,1.145,1.157,7998298.0
159901,2006-09-26,1.146,1.157,1.136,1.139,3913417.0
159901,2006-09-27,1.137,1.15,1.136,1.15,5888600.0
159901,2006-09-28,1.151,1.17,1.151,1.166,11872477.0
159901,2006-09-29,1.166,1.185,1.166,1.182,20769269.0
159901,2006-10-09,1.203,1.212,1.195,1.209,19655138.0
159901,2006-10-10,1.211,1.214,1.196,1.209,19954987.0
159901,2006-10-11,1.209,1.209,1.195,1.205,7248496.0
159901,2006-10-12,1.195,1.24,1.193,1.195,13042580.0
159901,2006-10-13,1.191,1.201,1.191,1.198,7028854.0
159901,2006-10-16,1.199,1.201,1.185,1.189,6916394.0
159901,2006-10-17,1.189,1.201,1.187,1.189,5030442.0
159901,2006-10-18,1.189,1.213,1.189,1.213,23179777.0
159901,2006-10-19,1.215,1.224,1.209,1.217,19676946.0
159901,2006-10-20,1.217,1.225,1.214,1.217,9718714.0
159901,2006-10-23,1.215,1.221,1.183,1.185,4644769.0
159901,2006-10-24,1.176,1.214,1.176,1.213,6211144.0
159901,2006-10-25,1.213,1.233,1.205,1.222,11267931.0
159901,2006-10-26,1.215,1.238,1.207,1.235,9283191.0
159901,2006-10-27,1.228,1.243,1.213,1.224,7498055.0
159901,2006-10-30,1.22,1.225,1.21,1.219,5708678.0
159901,2006-10-31,1.219,1.235,1.219,1.234,6649422.0
159901,2006-11-01,1.235,1.241,1.227,1.241,6891214.0
159901,2006-11-02,1.233,1.242,1.186,1.242,7583308.0
159901,2006-11-03,1.243,1.265,1.243,1.254,7366446.0
159901,2006-11-06,1.25,1.274,1.207,1.274,6255676.0
159901,2006-11-07,1.275,1.281,1.261,1.281,6682338.0
159901,2006-11-08,1.277,1.277,1.265,1.267,5438797.0
159901,2006-11-09,1.265,1.293,1.265,1.286,6817026.0
159901,2006-11-10,1.292,1.295,1.255,1.264,7872726.0
159901,2006-11-13,1.255,1.264,1.22,1.221,4790298.0
159901,2006-11-14,1.221,1.237,1.2,1.237,3331579.0
159901,2006-11-15,1.239,1.294,1.237,1.294,4827906.0
159901,2006-11-16,1.296,1.315,1.29,1.293,5674796.0
159901,2006-11-17,1.278,1.322,1.278,1.322,6732770.0
159901,2006-11-20,1.326,1.345,1.324,1.345,6614546.0
159901,2006-11-21,1.345,1.367,1.327,1.367,8628525.0
159901,2006-11-22,1.366,1.395,1.345,1.382,5371506.0
159901,2006-11-23,1.381,1.4,1.371,1.382,8962645.0
159901,2006-11-24,1.39,1.396,1.37,1.395,4534175.0
159901,2006-11-27,1.392,1.419,1.391,1.419,4830285.0
159901,2006-11-28,1.44,1.44,1.405,1.415,4177074.0
159901,2006-11-29,1.4,1.449,1.358,1.446,2595302.0
159901,2006-11-30,1.445,1.508,1.445,1.503,6571888.0
159901,2006-12-01,1.554,1.554,1.515,1.525,8680254.0
159901,2006-12-04,1.526,1.573,1.526,1.568,7814839.0
159901,2006-12-05,1.57,1.604,1.565,1.583,6217342.0
159901,2006-12-06,1.583,1.593,1.509,1.556,8222055.0
159901,2006-12-07,1.553,1.58,1.515,1.545,6656599.0
159901,2006-12-08,1.527,1.543,1.492,1.492,9323723.0
159901,2006-12-11,1.475,1.564,1.474,1.563,5593179.0
159901,2006-12-12,1.567,1.593,1.541,1.575,5017486.0
159901,2006-12-13,1.56,1.584,1.556,1.575,2669777.0
159901,2006-12-14,1.574,1.595,1.563,1.594,3185440.0
159901,2006-12-15,1.595,1.641,1.595,1.641,6136130.0
159901,2006-12-18,1.643,1.706,1.643,1.691,4211541.0
159901,2006-12-19,1.694,1.743,1.645,1.681,30171485.0
159901,2006-12-20,1.674,1.713,1.655,1.707,25853995.0
159901,2006-12-21,1.71,1.713,1.677,1.677,27326423.0
159901,2006-12-22,1.666,1.682,1.648,1.65,34153176.0
159901,2006-12-25,1.648,1.713,1.635,1.69,5727349.0
159901,2006-12-26,1.684,1.713,1.665,1.68,11926261.0
159901,2006-12-27,1.681,1.72,1.677,1.713,2849755.0
159901,2006-12-28,1.705,1.74,1.692,1.699,10313139.0
159901,2006-12-29,1.701,1.761,1.701,1.754,4986371.0
159901,2007-01-04,1.775,1.818,1.753,1.765,5803749.0
159901,2007-01-05,1.76,1.79,1.725,1.773,12645736.0
159901,2007-01-08,1.774,1.834,1.772,1.834,5437193.0
159901,2007-01-09,1.855,1.901,1.834,1.895,7737703.0
159901,2007-01-10,1.863,1.973,1.863,1.973,4548216.0
159901,2007-01-11,1.976,2.005,1.935,1.957,10324974.0
159901,2007-01-12,1.952,1.975,1.888,1.903,7011196.0
159901,2007-01-15,1.909,2.038,1.905,2.037,12561652.0
159901,2007-01-16,2.065,2.165,2.046,2.151,10944485.0
159901,2007-01-17,2.157,2.193,2.03,2.073,24122435.0
159901,2007-01-18,2.055,2.115,2.005,2.109,10483512.0
159901,2007-01-19,2.12,2.169,2.109,2.167,13536081.0
159901,2007-01-22,2.195,2.295,2.18,2.295,13578384.0
159901,2007-01-23,2.298,2.316,2.175,2.261,18624241.0
159901,2007-01-24,2.26,2.302,2.22,2.282,10103330.0
159901,2007-01-25,2.24,2.257,2.177,2.195,23118558.0
159901,2007-01-26,2.165,2.234,2.067,2.225,8617292.0
159901,2007-01-29,2.225,2.279,2.225,2.268,11993357.0
159901,2007-01-30,2.265,2.292,2.246,2.251,3308908.0
159901,2007-01-31,2.236,2.249,2.075,2.082,8891192.0
159901,2007-02-01,2.075,2.125,1.995,2.092,8232768.0
159901,2007-02-02,2.085,2.093,1.995,2.003,6164491.0
159901,2007-02-05,1.985,2.015,1.934,1.986,5640572.0
159901,2007-02-06,1.981,2.035,1.929,2.026,6571489.0
159901,2007-02-07,2.035,2.095,1.995,2.076,4725113.0
159901,2007-02-08,2.095,2.117,2.066,2.115,4801548.0
159901,2007-02-09,2.115,2.128,2.095,2.101,6101403.0
159901,2007-02-12,2.084,2.201,2.081,2.201,11972108.0
159901,2007-02-13,2.215,2.245,2.205,2.238,13054917.0
159901,2007-02-14,2.23,2.323,2.23,2.32,21541084.0
159901,2007-02-15,2.345,2.395,2.335,2.395,21020401.0
159901,2007-02-16,2.44,2.445,2.367,2.405,13241621.0
159901,2007-02-26,2.405,2.455,2.345,2.413,5641725.0
159901,2007-02-27,2.413,2.425,2.159,2.177,24224471.0
159901,2007-02-28,2.095,2.255,2.083,2.24,19485755.0
159901,2007-03-01,2.241,2.255,2.163,2.168,9474205.0
159901,2007-03-02,2.168,2.227,2.155,2.221,8177464.0
159901,2007-03-05,2.221,2.255,2.135,2.204,4071618.0
159901,2007-03-06,2.193,2.245,2.165,2.223,4101685.0
159901,2007-03-07,2.23,2.294,2.23,2.294,6145253.0
159901,2007-03-08,2.293,2.324,2.273,2.323,11694103.0
159901,2007-03-09,2.326,2.336,2.296,2.305,7242543.0
159901,2007-03-12,2.285,2.305,2.265,2.299,2784563.0
159901,2007-03-13,2.295,2.335,2.285,2.331,6856175.0
159901,2007-03-14,2.287,2.321,2.239,2.314,12818286.0
159901,2007-03-15,2.305,2.346,2.303,2.344,20326668.0
