"f2","f3","f4","f5","f13","f14","f31","f32","f108","f161","f249","f325","f333","f334"
32,492.59,26.6,11860,11,"中证1000购26年6月8700",32,32.2,8307,8700,18.75,0.2629,"中证1000",8521.23
18.2,468.75,15,8963,11,"中证1000购26年6月8800",18.2,18.4,8369,8800,19.94,0.1593,"中证1000",8521.23
56,418.52,45.2,25635,11,"中证1000购26年6月8600",55.8,56.2,8753,8600,17.61,0.3945,"中证1000",8521.23
16.4,412.5,13.2,4720,11,"沪深300购26年6月4950",16.4,16.6,4105,4950,13.19,0.307,"沪深300",4891.71
10.2,410,8.2,4048,11,"中证1000购26年6月8900",10,10.2,4534,8900,21.03,0.0875,"中证1000",8521.23
6.4,357.14,5,4301,11,"中证1000购26年6月9000",6.4,6.6,10825,9000,22.59,0.0436,"中证1000",8521.23
8.4,320,6.4,6382,11,"沪深300购26年6月5000",8.4,8.6,7337,5000,14.32,0.1705,"沪深300",4891.71
92.8,314.29,70.4,32455,11,"中证1000购26年6月8500",92.8,93.2,7283,8500,16.01,0.5413,"中证1000",8521.23
31.4,302.56,23.6,11974,11,"沪深300购26年6月4900",31.4,31.6,5567,4900,12.02,0.4793,"沪深300",4891.71
59.2,289.47,44,11523,11,"沪深300购26年6月4850",58.6,59.4,3566,4850,11.6,0.6573,"沪深300",4891.71
145,246.89,103.2,36967,11,"中证1000购26年6月8400",145,145.8,7073,8400,13.12,0.6841,"中证1000",8521.23
95,218.79,65.2,15194,11,"沪深300购26年6月4800",95,95.2,3774,4800,8.81,0.807,"沪深300",4891.71
4.4,214.29,3,1072,11,"中证1000购26年6月9100",4.4,4.6,2842,9100,24.39,0.0196,"中证1000",8521.23
215.4,191.87,141.6,22419,11,"中证1000购26年6月8300",215.4,215.8,4930,8300,0,0.8049,"中证1000",8521.23
17.8,178.13,11.4,7131,11,"上证50购26年6月2950",17.6,17.8,2996,2950,13.05,0.4308,"上证50",2938.65
2.6,160,1.6,1928,11,"沪深300购26年6月5100",2.6,2.8,3899,5100,16.97,0.0333,"沪深300",4891.71
3,150,1.8,1508,11,"中证1000购26年6月9200",2.8,3,3649,9200,25.97,0.008,"中证1000",8521.23
295,148.32,176.2,14418,11,"中证1000购26年6月8200",294.8,295,3974,8200,0,0.8933,"中证1000",8521.23
134,147.23,79.8,6552,11,"沪深300购26年6月4750",133.6,134,1486,4750,0,0.9088,"沪深300",4891.71
1.8,125,1,1500,11,"上证50购26年6月3050",1.8,2,1808,3050,15.97,0.0296,"上证50",2938.65
5.4,125,3,3653,11,"上证50购26年6月3000",5.4,5.6,4894,3000,14.1,0.1496,"上证50",2938.65
47,123.81,26,6578,11,"上证50购26年6月2900",46.8,47,3114,2900,12.67,0.7593,"上证50",2938.65
387,118.15,209.6,6446,11,"中证1000购26年6月8100",386,387,1818,8100,0,0.9488,"中证1000",8521.23
2.6,116.67,1.4,836,11,"中证1000购26年6月9300",2.4,2.8,1999,9300,28.39,0.003,"中证1000",8521.23
180.8,103.15,91.8,4285,11,"沪深300购26年6月4700",180.8,181,2486,4700,0,0.9645,"沪深300",4891.71
56,100,28,1541,11,"中证1000购26年7月9100",55.8,56,1150,9100,22.79,0.1642,"中证1000",8521.23
0.4,100,0.2,126,11,"上证50沽26年6月2600",0.2,0.4,475,2600,34.71,0,"上证50",2938.65
0.4,100,0.2,"-",11,"上证50沽26年6月2450",0.2,0.4,103,2450,49.33,0,"上证50",2938.65
0.4,100,0.2,"-",11,"上证50沽26年6月2400",0.2,0.4,709,2400,54.32,0,"上证50",2938.65
92,99.13,45.8,1829,11,"中证1000购26年7月8900",92,94.8,1821,8900,22.13,0.2643,"中证1000",8521.23
42.8,96.33,21,1348,11,"中证1000购26年7月9200",42.8,43,1658,9200,23.03,0.1254,"中证1000",8521.23
115.6,95.27,56.4,2756,11,"中证1000购26年7月8800",115.6,115.8,2654,8800,21.67,0.3251,"中证1000",8521.23
