市场名称,名称,买卖,持仓,可用,开仓均价,最新价,市值,估算浮动盈亏,累计盈亏,盈亏比例,保证金,Delta,Gamma,Rho,Theta,Vega,时间价值,标的代码,剩余天数,￥Delta,￥Gamma,￥Rho,￥Theta,￥Vega,备兑属性,类别,档位,持仓类别,代码,组合,
上海股票期权,科创50购12月1200,买,10,0,0.0301,0.3366,33660.00,30650.00,35206.00,1018.27%,0.00,9.4185,4.3786,2.6181,-0.0023,0.0088,-0.0640,588000,12月(86),145326.89,1042.47,26181.48,-22.77,87.56,非备兑,认购,实 7,权利仓,10009278,交组,
上海股票期权,科创50购12月1300,卖,8,0,0.0641,0.2557,-20456.00,-15328.00,-12569.40,--,0.00,-6.9238,-6.5273,-2.0361,0.0030,-0.0131,-0.1016,588000,12月(86),-106833.59,-1554.05,-20360.60,30.35,-130.53,非备兑,认购,实 5,义务仓,10009309,交组,
上海股票期权,50ETF沽3月2700,买,2,2,0.0252,0.0238,476.00,-28.00,-28.40,-5.56%,0.00,-0.0882,0.6673,-0.1388,-0.0001,0.0040,0.0476,510050,3月(177),-2741.39,645.05,-1387.80,-1.33,40.49,非备兑,认沽,虚 7,权利仓,10009642,,
上海股票期权,300ETF沽3月3800,买,2,2,0.0247,0.0233,466.00,-28.00,-27.40,-5.67%,0.00,-0.0223,0.1220,-0.0531,-0.0001,0.0019,0.0466,510300,3月(177),-1052.06,272.76,-531.48,-0.74,19.31,非备兑,认沽,虚 9,权利仓,10009660,,
上海股票期权,科创50购12月1400,卖,2,0,0.0413,0.1902,-3804.00,-2978.00,-2979.00,--,0.00,-1.5000,-2.3941,-0.4602,0.0011,-0.0048,-0.0944,588000,12月(86),-23144.99,-569.99,-4602.14,10.58,-47.88,非备兑,认购,实 3,义务仓,10009781,交组,
上海股票期权,500ETF沽10月7250,买,5,5,0.1103,0.0823,4115.00,-1400.00,-1398.50,-25.39%,0.00,-1.2783,4.5590,-0.6454,-0.0114,0.0308,0.4115,510500,10月(23),-95387.17,25385.29,-6454.48,-113.62,307.63,非备兑,认沽,虚 1,权利仓,10009939,,
上海股票期权,50ETF沽11月2950,买,7,7,0.0239,0.0256,1792.00,119.00,120.10,7.11%,0.00,-0.9609,9.5559,-0.4959,-0.0020,0.0192,0.1792,510050,11月(58),-29873.86,9236.59,-4958.59,-19.55,192.15,非备兑,认沽,虚 2,权利仓,10010076,,
上海股票期权,300ETF购11月5000,买,1,1,0.0362,0.0538,538.00,176.00,176.30,48.62%,0.00,0.1887,0.9791,0.1397,-0.0007,0.0051,0.0538,510300,11月(58),8922.25,2188.60,1397.21,-6.72,51.37,非备兑,认购,虚 3,权利仓,10010090,,
上海股票期权,300ETF沽11月4400,买,2,2,0.0339,0.0321,642.00,-36.00,-36.40,-5.31%,0.00,-0.1912,1.2303,-0.1502,-0.0008,0.0065,0.0642,510300,11月(58),-9038.76,2750.22,-1502.06,-7.52,64.55,非备兑,认沽,虚 3,权利仓,10010093,,
上海股票期权,500ETF沽11月7000,买,1,1,0.1262,0.1242,1242.00,-20.00,-19.70,-1.58%,0.00,-0.1746,0.4656,-0.2193,-0.0011,0.0077,0.1242,510500,11月(58),-13029.47,2592.26,-2193.07,-11.44,77.23,非备兑,认沽,虚 2,权利仓,10010112,,
