序号	自定序号	           合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	合约市值	浮动盈亏	保证金	  Delta	  Gamma	  Vega	  Theta	    Rho	  ￥Delta	   ￥Gamma	￥Vega	￥Theta	 ￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
   1	        	    300ETF购6月5250	    认购	    权利	       5	   5	       5	0.00817	0.0119	  595.00	  186.50	 0.000	 0.5435	 4.0250	0.0125	-0.0040	 0.0020	 26805.42	 489533.06	125.00	 -40.00	 20.00	       0	 408.500	 -408.50	       0.000	 669.500	     483.000	               0	               0	10010929	 510300C2606M05250	   A431907445888	    上海	    	
   2	        	    500ETF购6月9250	    认购	    权利	       0	   1	       1	0.03367	0.0428	  428.00	   91.30	 0.000	 0.1576	 0.4524	0.0058	-0.0025	 0.0010	 13630.82	 169209.36	 58.00	 -25.00	 10.00	       0	 336.700	 -336.70	       0.000	  91.300	       0.000	               1	               0	10010857	 510500C2606M09250	   A431907445888	    上海	    	
   3	        	中证500ETF购6月3600	    认购	    权利	       0	   1	       2	0.02717	0.0298	  596.00	   52.60	 0.000	 0.5006	 3.0954	0.0060	-0.0026	 0.0012	 17220.64	 183148.63	 60.00	 -26.00	 12.00	       0	 543.400	 -543.40	       0.000	  52.600	       0.000	               2	               1	90007017	159922C2606M003600	0393337920966017	    深圳	    	
   4	        	     50ETF购7月3200	    认购	    权利	       0	   2	       2	0.01767	0.0188	  376.00	   22.60	 0.000	 0.3612	 2.6608	0.0062	-0.0010	 0.0016	 10781.82	 118541.63	 62.00	 -10.00	 16.00	       0	 353.400	 -353.40	       0.000	  22.600	       0.000	               2	               0	10011687	 510050C2607M03200	   A431907445888	    上海	    	
   5	        	    300ETF沽6月4500	    认沽	    权利	       0	   2	       2	0.00887	0.0088	  176.00	   -1.40	 0.000	-0.1262	 0.7910	0.0034	-0.0014	-0.0004	 -6224.18	  96203.89	 34.00	 -14.00	 -4.00	       0	 177.400	 -177.40	       0.000	  -1.400	       0.000	               2	               0	10010932	 510300P2606M04500	   A431907445888	    上海	    	
   6	        	    500ETF沽6月7750	    认沽	    权利	       0	   1	       1	0.03017	0.0300	  300.00	   -1.70	 0.000	-0.0855	 0.2117	0.0037	-0.0020	-0.0006	 -7394.90	  79181.31	 37.00	 -20.00	 -6.00	       0	 301.700	 -301.70	       0.000	  -1.700	       0.000	               1	               0	10010860	 510500P2606M07750	   A431907445888	    上海	    	
   7	        	    300ETF购7月5500	    认购	    权利	       0	   5	       5	0.01467	0.0145	 725.000	   -8.50	 0.000	 0.4440	 2.2115	0.0155	-0.0030	 0.0030	 21898.08	 268969.53	155.00	 -30.00	 30.00	       0	 733.500	 -733.50	       0.000	  -8.500	       0.000	               5	               0	10011706	 510300C2607M05500	   A431907445888	    上海	    	
   8	        	 创业板ETF沽6月3500	    认沽	    权利	       0	   1	       1	0.01267	0.0118	  118.00	   -8.70	 0.000	-0.0570	 0.2467	0.0013	-0.0009	-0.0002	 -2358.66	  21121.27	 13.00	  -9.00	 -2.00	       0	 126.700	 -126.70	       0.000	  -8.700	       0.000	               1	               0	90006518	159915P2606M003500	0393337920966017	    深圳	    	
   9	        	    500ETF沽6月7500	    认沽	    权利	       0	   2	       2	0.01742	0.0156	  312.00	  -36.40	 0.000	-0.0940	 0.2534	0.0048	-0.0026	-0.0006	 -8130.06	  94778.19	 48.00	 -26.00	 -6.00	       0	 348.400	 -348.40	       0.000	 -36.400	       0.000	               2	               0	10010859	 510500P2606M07500	   A431907445888	    上海	    	
  10	        	   500ETF购6月10000	    认购	    权利	       1	   1	       1	0.01287	0.0073	   73.00	  -55.70	 0.000	 0.0302	 0.1069	0.0016	-0.0008	 0.0002	  2612.00	  39983.38	 16.00	  -8.00	  2.00	       0	 128.700	 -128.70	       0.000	 -55.700	       0.000	               0	               0	10011595	 510500C2606M10000	   A431907445888	    上海	    	
