datetime,open,high,low,close,volume,amount
2026-05-28 14:11:00,8.673,8.673,8.665,8.665,438900,380306850.0
2026-05-28 14:12:00,8.665,8.665,8.657,8.658,614251,531818515.8
2026-05-28 14:13:00,8.658,8.66,8.655,8.655,994589,860816779.5
2026-05-28 14:14:00,8.655,8.657,8.655,8.655,795300,688332150.0
2026-05-28 14:15:00,8.655,8.656,8.648,8.648,561159,485290303.2
2026-05-28 14:16:00,8.648,8.65,8.646,8.649,699560,605049444.0
2026-05-28 14:17:00,8.649,8.659,8.649,8.659,390959,338531398.1
2026-05-28 14:18:00,8.658,8.659,8.657,8.659,280873,243207930.7
2026-05-28 14:19:00,8.659,8.66,8.657,8.66,435947,377530102.0
2026-05-28 14:20:00,8.66,8.665,8.66,8.664,450824,390593913.6
2026-05-28 14:21:00,8.664,8.664,8.656,8.656,318870,276013872.0
2026-05-28 14:22:00,8.656,8.656,8.652,8.653,1337122,1157011666.6
2026-05-28 14:23:00,8.653,8.657,8.652,8.655,701367,607033138.5
2026-05-28 14:24:00,8.655,8.658,8.654,8.656,972485,841783016.0
2026-05-28 14:25:00,8.655,8.657,8.653,8.656,1715895,1485278712.0
2026-05-28 14:26:00,8.657,8.66,8.654,8.66,742683,643163478.0
2026-05-28 14:27:00,8.66,8.664,8.659,8.659,566113,490197246.7
2026-05-28 14:28:00,8.658,8.658,8.65,8.65,574491,496934715.0
2026-05-28 14:29:00,8.649,8.654,8.649,8.653,1094372,946960091.6
2026-05-28 14:30:00,8.653,8.654,8.651,8.653,542404,469342181.2
2026-05-28 14:31:00,8.653,8.66,8.651,8.658,638153,552512867.4
2026-05-28 14:32:00,8.656,8.659,8.654,8.658,694108,600958706.4
2026-05-28 14:33:00,8.658,8.664,8.658,8.663,407486,353005121.8
2026-05-28 14:34:00,8.664,8.667,8.662,8.662,1203518,1042487291.6
2026-05-28 14:35:00,8.663,8.664,8.662,8.663,866422,750581378.6
2026-05-28 14:36:00,8.664,8.668,8.663,8.666,1298122,1124952525.2
2026-05-28 14:37:00,8.667,8.668,8.656,8.666,1931779,1674079681.4
2026-05-28 14:38:00,8.665,8.666,8.66,8.666,208008,180259732.8
2026-05-28 14:39:00,8.666,8.666,8.656,8.659,537392,465327732.8
2026-05-28 14:40:00,8.656,8.657,8.653,8.654,289397,250444163.8
2026-05-28 14:41:00,8.654,8.655,8.651,8.654,406070,351412978.0
2026-05-28 14:42:00,8.656,8.664,8.654,8.661,348689,301999542.9
2026-05-28 14:43:00,8.661,8.662,8.656,8.656,455470,394254832.0
2026-05-28 14:44:00,8.655,8.656,8.653,8.654,319100,276149140.0
2026-05-28 14:45:00,8.653,8.654,8.649,8.65,1564064,1352915360.0
2026-05-28 14:46:00,8.65,8.65,8.645,8.645,812526,702428727.0
2026-05-28 14:47:00,8.645,8.647,8.642,8.644,477725,412945490.0
2026-05-28 14:48:00,8.644,8.648,8.644,8.647,436389,377345568.3
2026-05-28 14:49:00,8.648,8.651,8.647,8.651,764539,661402688.9
2026-05-28 14:50:00,8.651,8.651,8.647,8.648,1335845,1155238756.0
2026-05-28 14:51:00,8.648,8.65,8.647,8.649,394162,340910713.8
2026-05-28 14:52:00,8.65,8.65,8.643,8.643,1160093,1002668379.9
2026-05-28 14:53:00,8.643,8.646,8.642,8.645,1061916,918026382.0
2026-05-28 14:54:00,8.646,8.647,8.644,8.647,843319,729217939.3
2026-05-28 14:55:00,8.647,8.648,8.645,8.647,1192100,1030808870.0
2026-05-28 14:56:00,8.648,8.648,8.647,8.647,1414100,1222772270.0
