序号	自定序号	            合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	 合约市值	浮动盈亏	保证金	  Delta	  Gamma	  Vega	  Theta	    Rho	   ￥Delta	    ￥Gamma	  ￥Vega	  ￥Theta	  ￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
   1	        	      50ETF购8月3100	    认购	    权利	       2	   2	       2	0.01867	      	  514.000	 140.600	 0.000	 0.8398	 9.1562	0.0052	-0.0022	 0.0012	  25823.85	  432887.97	   52.00	   -22.00	  12.00	       0	 373.400	        	       0.000	 145.200	       4.600	               0	               0	10011856	 510050C2608M03100	   A431907445888	    上海	    	
   2	        	      50ETF购8月3200	    认购	    权利	       3	   3	       3	0.01780	      	  189.000	-345.100	 0.000	 0.3825	 6.2277	0.0042	-0.0021	 0.0006	  11761.88	  294433.98	   42.00	   -21.00	   6.00	       0	 534.100	        	       0.000	-345.100	       0.000	               0	               0	10011857	 510050C2608M03200	   A431907445888	    上海	    	
   3	        	      50ETF购8月3300	    认购	    权利	       3	   3	       3	0.00850	      	   75.000	-180.100	 0.000	 0.1458	 2.4105	0.0021	-0.0012	 0.0003	   4483.35	  113963.92	   21.00	   -12.00	   3.00	       0	 255.100	        	       0.000	-180.100	       0.000	               0	               0	10011858	 510050C2608M03300	   A431907445888	    上海	    	
   4	        	      50ETF沽8月2950	    认沽	    权利	       3	   5	       5	0.01045	      	  340.000	-182.500	 0.000	-0.5920	 8.6055	0.0065	-0.0030	-0.0010	 -18204.00	  406851.90	   65.00	   -30.00	 -10.00	       0	 522.500	        	       0.000	-182.500	       0.000	               2	               0	10011863	 510050P2608M02950	   A431907445888	    上海	    	
   5	        	      50ETF沽8月3000	    认沽	    权利	       1	   4	       4	0.01519	      	  608.000	   0.200	 0.000	-0.9108	10.6748	0.0080	-0.0036	-0.0012	 -28007.10	  504684.53	   80.00	   -36.00	 -12.00	       0	 607.800	        	       0.000	   0.200	       0.000	               3	               0	10011864	 510050P2608M03000	   A431907445888	    上海	    	
   6	        	     300ETF购8月4900	    认购	    权利	       4	   6	       6	0.02444	      	 1134.000	-332.200	 0.000	 1.2780	10.9872	0.0180	-0.0090	 0.0030	  60820.02	 1244194.98	  180.00	   -90.00	  30.00	       0	1466.200	        	       0.000	-332.200	       0.000	               2	               0	10011872	 510300C2608M04900	   A431907445888	    上海	    	
   7	        	     300ETF购8月5000	    认购	    权利	       8	   8	       8	0.01661	      	  648.000	-680.600	 0.000	 0.8016	 8.1096	0.0144	-0.0080	 0.0016	  38148.14	  918334.39	  144.00	   -80.00	  16.00	       0	1328.600	        	       0.000	-680.600	       0.000	               0	               0	10011873	 510300C2608M05000	   A431907445888	    上海	    	
   8	        	     300ETF购8月5250	    认购	    权利	      10	  10	      10	0.00632	      	  180.000	-452.000	 0.000	 0.2190	 2.3350	0.0050	-0.0040	 0.0000	  10422.21	  264416.35	   50.00	   -40.00	   0.00	       0	 632.000	        	       0.000	-452.000	       0.000	               0	               0	10011874	 510300C2608M05250	   A431907445888	    上海	    	
   9	        	     300ETF沽8月4600	    认沽	    权利	       1	   1	       1	0.03017	      	  239.000	 -62.700	 0.000	-0.2001	 1.3364	0.0029	-0.0016	-0.0005	  -9522.76	  151334.48	   29.00	   -16.00	  -5.00	       0	 301.700	        	       0.000	 -62.700	       0.000	               0	               0	10011878	 510300P2608M04600	   A431907445888	    上海	    	
  10	        	     科创50购8月2100	    认购	    权利	       1	   1	       1	0.01347	      	  105.000	 -29.700	 0.000	 0.1155	 0.9994	0.0008	-0.0011	 0.0001	   2119.43	   16826.02	    8.00	   -11.00	   1.00	       0	 134.700	        	       0.000	 -29.700	       0.000	               0	               0	10011909	 588000C2608M02100	   A431907445888	    上海	    	
  11	        	     科创50购8月2150	    认购	    权利	       2	   2	       2	0.01077	      	  142.000	 -73.400	 0.000	 0.1640	 1.5268	0.0012	-0.0018	 0.0002	   3009.40	   25705.40	   12.00	   -18.00	   2.00	       0	 215.400	        	       0.000	 -73.400	       0.000	               0	               0	10011910	 588000C2608M02150	   A431907445888	    上海	    	
  12	        	     300ETF沽8月4500	    认沽	    权利	       2	   2	       2	0.01867	      	  208.000	-165.400	 0.000	-0.1978	 1.5940	0.0036	-0.0022	-0.0004	  -9413.30	  180505.21	   36.00	   -22.00	  -4.00	       0	 373.400	        	       0.000	-165.400	       0.000	               0	               0	10011968	 510300P2608M04500	   A431907445888	    上海	    	
  13	        	     500ETF购8月8500	    认购	    权利	       2	   2	       2	0.02757	      	  600.000	  48.600	 0.000	 0.2946	 1.1410	0.0080	-0.0058	 0.0010	  23677.00	  368505.17	   80.00	   -58.00	  10.00	       0	 551.400	        	       0.000	  48.600	       0.000	               0	               0	10012058	 510500C2608M08500	   A431907445888	    上海	    	
