序号	成交时间	合约代码	           合约名称	业务类别	业务行为	  订单所有类型	成交价格	成交数量	成交金额	委托价格	委托数量	  合同序号	        成交编号	  成交类型	证券代码	      证券名称	预占用保证金	占用保证金	预释放保证金	释放保证金	          合约标志	    期权合约账户	交易市场	委托来源	
   1	09:30:01	90007735	中证500ETF购8月3400	买入开仓	 限价GFD	个人投资者发起	  0.0227	       1	 227.000	  0.0227	       2	  AD260001	0402000000025709	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2608M003400	0393337920966017	    深圳	        	
   2	09:30:01	90007735	中证500ETF购8月3400	买入开仓	 限价GFD	个人投资者发起	  0.0227	       1	 227.000	  0.0227	       2	  AD260001	0402000000025712	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2608M003400	0393337920966017	    深圳	        	
   3	09:30:05	10011872	    300ETF购8月4900	买入开仓	 限价GFD	个人投资者发起	  0.0217	       2	 434.000	  0.0217	       2	SK39000002	   3000000001326	交易所成交	  510300	        300ETF	       0.000	     0.000	       0.000	     0.000	 510300C2608M04900	   A431907445888	    上海	        	
   4	09:43:04	10011864	     50ETF沽8月3000	买入开仓	 限价GFD	个人投资者发起	  0.0135	       1	 135.000	  0.0135	       1	SK39000007	   3000000041194	交易所成交	  510050	         50ETF	       0.000	     0.000	       0.000	     0.000	 510050P2608M03000	   A431907445888	    上海	        	
   5	09:43:04	10011864	     50ETF沽8月3000	买入开仓	 限价GFD	个人投资者发起	  0.0135	       1	 135.000	  0.0135	       1	SK39000008	   3000000041195	交易所成交	  510050	         50ETF	       0.000	     0.000	       0.000	     0.000	 510050P2608M03000	   A431907445888	    上海	        	
   6	09:47:16	10011864	     50ETF沽8月3000	买入开仓	 限价GFD	个人投资者发起	  0.0131	       1	 131.000	  0.0131	       1	SK39000010	   3000000050789	交易所成交	  510050	         50ETF	       0.000	     0.000	       0.000	     0.000	 510050P2608M03000	   A431907445888	    上海	        	
   7	09:47:58	10012059	    500ETF购8月8750	买入开仓	 限价GFD	个人投资者发起	  0.0153	       1	 153.000	  0.0158	       1	SK39000011	   3030000147878	交易所成交	  510500	        500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608M08750	   A431907445888	    上海	        	
   8	09:48:05	10010981	     50ETF沽9月2900	买入开仓	 限价GFD	个人投资者发起	  0.0165	       1	 165.000	  0.0165	       1	SK39000009	   3000000053148	交易所成交	  510050	         50ETF	       0.000	     0.000	       0.000	     0.000	 510050P2609M02900	   A431907445888	    上海	        	
   9	09:48:49	10012060	    500ETF购8月9000	买入开仓	 限价GFD	个人投资者发起	  0.0076	       2	 152.000	  0.0076	       2	SK39000015	   3030000154763	交易所成交	  510500	        500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608M09000	   A431907445888	    上海	        	
  10	09:49:31	10011863	     50ETF沽8月2950	买入开仓	 限价GFD	个人投资者发起	  0.0061	       2	 122.000	  0.0066	       2	SK39000019	   3000000058121	交易所成交	  510050	         50ETF	       0.000	     0.000	       0.000	     0.000	 510050P2608M02950	   A431907445888	    上海	        	

