序号	自定序号	            合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	合约市值	浮动盈亏	保证金	  Delta	  Gamma	  Vega	  Theta	    Rho	  ￥Delta	   ￥Gamma	￥Vega	￥Theta	 ￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
   1	        	     500ETF购3月7000	    认购	    权利	       1	   1	       1	0.65017	0.8664	 8664.00	 2162.30	 0.000	 0.7378	 0.1322	0.0195	-0.0024	 0.0245	 58455.89	  41493.57	195.00	 -24.00	245.00	       0	6501.700	 2728.30	       0.000	2162.300	       0.000	               0	               0	10012200	 510500C2703M07000	   A431907445888	    上海	    	
   2	        	中证500ETF购12月2800	    认购	    权利	       1	   1	       1	0.31017	0.4599	 4599.00	 1497.30	 0.000	 0.7912	 0.4115	0.0052	-0.0011	 0.0065	 25429.17	  21253.56	 52.00	 -11.00	 65.00	       0	3101.700	 1038.30	       0.000	 808.300	       0.000	               0	               0	90007831	159922C2612M002800	0393337920966017	    深圳	    	
   3	        	      50ETF购9月3000	    认购	    权利	       6	   6	       6	0.03750	0.0614	 3684.00	 1434.00	 0.000	 4.3284	24.4050	0.0168	-0.0048	 0.0096	131453.51	1125481.60	168.00	 -48.00	 96.00	       0	2250.200	  -30.00	       0.000	1433.800	       0.000	               0	               0	10010974	 510050C2609M03000	   A431907445888	    上海	    	
   4	        	 中证500ETF购3月2800	    认购	    权利	       1	   1	       1	0.27017	0.3861	 3861.00	 1159.30	 0.000	 0.7694	 0.3473	0.0074	-0.0009	 0.0106	 24728.52	  17937.69	 74.00	  -9.00	106.00	       0	2701.700	 1438.30	       0.000	1159.300	       0.000	               0	               0	90007923	159922C2703M002800	0393337920966017	    深圳	    	
   5	        	      50ETF购9月3100	    认购	    权利	      27	  27	      27	0.01533	0.0181	 4887.00	  747.90	 0.000	 8.1000	97.0893	0.0783	-0.0189	 0.0189	245997.00	4477452.20	783.00	-189.00	189.00	       0	4137.900	-4139.11	       0.000	 749.100	       0.000	               0	               0	10010975	 510050C2609M03100	   A431907445888	    上海	    	
   6	        	 中证500ETF购9月3100	    认购	    权利	       1	   1	       1	0.08467	0.1435	 1435.00	  588.30	 0.000	 0.7927	 1.7844	0.0025	-0.0011	 0.0018	 25477.38	  92162.44	 25.00	 -11.00	 18.00	       0	 846.700	  293.30	       0.000	 588.300	       0.000	               0	               0	90007105	159922C2609M003100	0393337920966017	    深圳	    	
   7	        	     300ETF购3月4200	    认购	    权利	       1	   1	       1	0.42267	0.4565	 4565.00	  338.30	 0.000	 0.7945	 0.3321	0.0101	-0.0010	 0.0173	 37174.66	  36353.39	101.00	 -10.00	173.00	       0	4226.700	  563.30	       0.000	 338.300	       0.000	               0	               0	10012263	 510300C2703M04200	   A431907445888	    上海	    	
   8	        	      50ETF购9月2900	    认购	    权利	       1	   1	       1	0.10837	0.1369	 1369.00	  285.30	 0.000	 0.8854	 1.5220	0.0016	-0.0008	 0.0019	 26889.60	  70189.84	 16.00	  -8.00	 19.00	       0	1083.700	  286.30	       0.000	 285.300	       0.000	               0	               0	10010972	 510050C2609M02900	   A431907445888	    上海	    	
   9	        	     500ETF购9月8750	    认购	    权利	       2	   2	       2	0.00887	0.0147	  294.00	  116.60	 0.000	 0.1368	 0.5270	0.0056	-0.0026	 0.0008	 10838.66	 165409.30	 56.00	 -26.00	  8.00	       0	 177.400	 -177.40	       0.000	 116.600	       0.000	               0	               0	10012077	 510500C2609M08750	   A431907445888	    上海	    	
  10	        	      50ETF购9月2950	    认购	    权利	       1	   1	       1	0.09017	0.0959	  959.00	   57.30	 0.000	 0.7865	 2.2877	0.0024	-0.0010	 0.0017	 23886.00	 105501.51	 24.00	 -10.00	 17.00	       0	 901.700	  -31.70	       0.000	  57.300	       0.000	               0	               0	10010973	 510050C2609M02950	   A431907445888	    上海	    	
  11	        	     300ETF购9月4800	    认购	    权利	       1	   1	       1	0.02517	0.0307	  307.00	   55.30	 0.000	 0.2846	 1.9208	0.0043	-0.0013	 0.0010	 13316.43	 210260.77	 43.00	 -13.00	 10.00	       0	 251.700	 -251.70	       0.000	  55.300	       0.000	               0	               0	10010994	 510300C2609M04800	   A431907445888	    上海	    	
  12	        	  创业板ETF购9月3600	    认购	    权利	       1	   1	       1	0.06397	0.0614	  614.00	  -25.70	 0.000	 0.3307	 1.2271	0.0034	-0.0021	 0.0008	 11386.00	  72731.74	 34.00	 -21.00	  8.00	       0	 639.700	 -639.70	       0.000	 -25.700	       0.000	               0	               0	90007076	159915C2609M003600	0393337920966017	    深圳	    	
  13	        	     50ETF沽10月2900	    认沽	    权利	       0	   3	       3	0.02677	0.0259	  777.00	  -26.10	 0.000	-0.6285	 4.0863	0.0108	-0.0012	-0.0033	-19087.54	 188447.26	108.00	 -12.00	-33.00	       0	 803.100	 -803.10	       0.000	 -26.100	       0.000	               3	               0	10012320	 510050P2610M02900	   A431907445888	    上海	    	
  14	        	     50ETF购10月3200	    认购	    权利	       0	   6	       6	0.01567	0.0151	  906.00	  -34.20	 0.000	 1.1304	10.8534	0.0204	-0.0024	 0.0054	 34330.25	 500524.57	204.00	 -24.00	 54.00	       0	 940.200	 -940.20	       0.000	 -34.200	       0.000	               6	               0	10012315	 510050C2610M03200	   A431907445888	    上海	    	
