序号	成交时间	合约代码	            合约名称	业务类别	业务行为	  订单所有类型	成交价格	成交数量	成交金额	委托价格	委托数量	  合同序号	        成交编号	  成交类型	证券代码	      证券名称	预占用保证金	占用保证金	预释放保证金	释放保证金	          合约标志	    期权合约账户	交易市场	委托来源	
   1	13:33:28	10012333	    300ETF购10月4900	买入开仓	 限价GFD	个人投资者发起	  0.0199	       1	 199.000	  0.0204	       1	SK39000062	   3000000150810	交易所成交	  510300	        300ETF	       0.000	     0.000	       0.000	     0.000	 510300C2610M04900	   A431907445888	    上海	        	
   2	13:31:19	10012333	    300ETF购10月4900	买入开仓	 限价GFD	个人投资者发起	  0.0200	       1	 200.000	  0.0200	       1	SK39000060	   3000000147014	交易所成交	  510300	        300ETF	       0.000	     0.000	       0.000	     0.000	 510300C2610M04900	   A431907445888	    上海	        	
   3	13:18:32	90008014	中证500ETF购10月3500	买入开仓	 限价GFD	个人投资者发起	  0.0145	       1	 145.000	  0.0145	       1	  AD260044	0402000018070866	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2610M003500	0393337920966017	    深圳	        	
   4	11:25:29	10012075	     500ETF购9月8250	买入开仓	 限价GFD	个人投资者发起	  0.0200	       1	 200.000	  0.0200	       1	SK39000058	   3030000328345	交易所成交	  510500	        500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2609M08250	   A431907445888	    上海	        	
   5	11:23:55	90008013	中证500ETF购10月3400	买入开仓	 限价GFD	个人投资者发起	  0.0275	       1	 275.000	  0.0275	       1	  AD260045	0402000015755210	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2610M003400	0393337920966017	    深圳	        	
   6	10:58:52	10010994	     300ETF购9月4800	买入开仓	 限价GFD	个人投资者发起	  0.0091	       1	  91.000	  0.0095	       1	SK39000059	   3000000099779	交易所成交	  510300	        300ETF	       0.000	     0.000	       0.000	     0.000	 510300C2609M04800	   A431907445888	    上海	        	
   7	10:58:09	90008014	中证500ETF购10月3500	买入开仓	 限价GFD	个人投资者发起	  0.0155	       1	 155.000	  0.0155	       1	  AD260042	0402000012923580	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2610M003500	0393337920966017	    深圳	        	
   8	10:56:40	90008012	中证500ETF购10月3300	买入开仓	 限价GFD	个人投资者发起	  0.0490	       1	 490.000	  0.0490	       1	  AD260041	0402000012768659	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2610M003300	0393337920966017	    深圳	        	
   9	10:56:40	10012333	    300ETF购10月4900	买入开仓	 限价GFD	个人投资者发起	  0.0225	       1	 225.000	  0.0225	       1	SK39000056	   3000000096761	交易所成交	  510300	        300ETF	       0.000	     0.000	       0.000	     0.000	 510300C2610M04900	   A431907445888	    上海	        	
  10	10:55:33	90007106	 中证500ETF购9月3200	买入开仓	 限价GFD	个人投资者发起	  0.0445	       1	 445.000	  0.0445	       1	  AD260043	0402000012669172	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2609M003200	0393337920966017	    深圳	        	
  11	10:55:12	10012075	     500ETF购9月8250	买入开仓	 限价GFD	个人投资者发起	  0.0223	       1	 223.000	  0.0227	       1	SK39000057	   3030000264667	交易所成交	  510500	        500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2609M08250	   A431907445888	    上海	        	
  12	10:53:43	90008013	中证500ETF购10月3400	买入开仓	 限价GFD	个人投资者发起	  0.0285	       2	 570.000	  0.0285	       2	  AD260040	0402000012478465	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2610M003400	0393337920966017	    深圳	        	
  13	10:53:30	90008014	中证500ETF购10月3500	买入开仓	 限价GFD	个人投资者发起	  0.0160	       2	 320.000	  0.0164	       2	  AD260039	0402000012442740	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2610M003500	0393337920966017	    深圳	        	
  14	10:53:19	90007923	 中证500ETF购3月2800	卖出平仓	 限价GFD	个人投资者发起	  0.3505	       1	3505.000	  0.3505	       1	  AD260038	0402000012429782	交易所成交	  159922	中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2703M002800	0393337920966017	    深圳	        	
  15	10:39:55	10012314	     50ETF购10月3100	买入开仓	 限价GFD	个人投资者发起	  0.0248	       1	 248.000	  0.0248	       1	SK39000054	   3000000087958	交易所成交	  510050	         50ETF	       0.000	     0.000	       0.000	     0.000	 510050C2610M03100	   A431907445888	    上海	        	
  16	10:37:06	10012314	     50ETF购10月3100	买入开仓	 限价GFD	个人投资者发起	  0.0250	       1	 250.000	  0.0250	       1	SK39000055	   3000000086021	交易所成交	  510050	         50ETF	       0.000	     0.000	       0.000	     0.000	 510050C2610M03100	   A431907445888	    上海	        	

