序号	自定序号	            合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	 合约市值	 浮动盈亏	保证金	 Delta	 Gamma	  Vega	  Theta	   Rho	   ￥Delta	    ￥Gamma	  ￥Vega	 ￥Theta	  ￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
   1	        	      50ETF购8月3100	    认购	    权利	       1	   1	       1	0.02517	      	  324.000	   72.300	 0.000	0.3423	2.5222	0.0031	-0.0011	0.0008	  10358.00	  115474.84	   31.00	  -11.00	   8.00	       0	 251.700	        	       0.000	  72.300	       0.000	               0	               0	10011856	 510050C2608M03100	   A431907445888	    上海	    	
   2	        	      50ETF购8月3200	    认购	    权利	       3	   3	       3	0.01780	      	  420.000	 -114.100	 0.000	0.5034	4.6926	0.0063	-0.0024	0.0012	  15232.88	  214843.09	   63.00	  -24.00	  12.00	       0	 534.100	        	       0.000	-114.100	       0.000	               0	               0	10011857	 510050C2608M03200	   A431907445888	    上海	    	
   3	        	      50ETF购8月3300	    认购	    权利	       3	   3	       3	0.00850	      	  180.000	  -75.100	 0.000	0.2343	2.5161	0.0036	-0.0015	0.0006	   7089.92	  115195.56	   36.00	  -15.00	   6.00	       0	 255.100	        	       0.000	 -75.100	       0.000	               0	               0	10011858	 510050C2608M03300	   A431907445888	    上海	    	
   4	        	     300ETF购8月4800	    认购	    权利	       1	   1	       1	0.04047	      	  435.000	   30.300	 0.000	0.2695	1.2147	0.0042	-0.0018	0.0009	  12410.48	  128794.79	   42.00	  -18.00	   9.00	       0	 404.700	        	       0.000	  30.300	       0.000	               0	               0	10011871	 510300C2608M04800	   A431907445888	    上海	    	
   5	        	     300ETF购8月4900	    认购	    权利	       2	   2	       2	0.03277	      	  522.000	 -133.400	 0.000	0.3532	1.8414	0.0066	-0.0028	0.0012	  16264.86	  195243.87	   66.00	  -28.00	  12.00	       0	 655.400	        	       0.000	-133.400	       0.000	               0	               0	10011872	 510300C2608M04900	   A431907445888	    上海	    	
   6	        	     300ETF购8月5000	    认购	    权利	       3	   3	       3	0.02717	      	  486.000	 -329.100	 0.000	0.3465	1.9785	0.0075	-0.0033	0.0012	  15956.33	  209780.60	   75.00	  -33.00	  12.00	       0	 815.100	        	       0.000	-329.100	       0.000	               0	               0	10011873	 510300C2608M05000	   A431907445888	    上海	    	
   7	        	     300ETF购8月5250	    认购	    权利	       5	   7	       7	0.00806	      	  371.000	 -192.900	 0.000	0.2849	1.8508	0.0077	-0.0035	0.0007	  13119.65	  196240.56	   77.00	  -35.00	   7.00	       0	 563.900	        	       0.000	-192.900	       0.000	               2	               0	10011874	 510300C2608M05250	   A431907445888	    上海	    	
   8	        	     500ETF购8月8250	    认购	    权利	       1	   1	       1	0.05267	      	  490.000	  -36.700	 0.000	0.1376	0.3002	0.0045	-0.0030	0.0007	  10094.34	   80779.16	   45.00	  -30.00	   7.00	       0	 526.700	        	       0.000	 -36.700	       0.000	               0	               0	10012057	 510500C2608M08250	   A431907445888	    上海	    	
   9	        	     500ETF购8月8500	    认购	    权利	       1	   1	       1	0.02867	      	  299.000	   12.300	 0.000	0.0892	0.2136	0.0033	-0.0023	0.0005	   6543.71	   57476.44	   33.00	  -23.00	   5.00	       0	 286.700	        	       0.000	  12.300	       0.000	               0	               0	10012058	 510500C2608M08500	   A431907445888	    上海	    	
  10	        	     500ETF购8月8750	    认购	    权利	       2	   2	       2	0.02052	      	  356.000	  -54.400	 0.000	0.1124	0.2928	0.0046	-0.0032	0.0006	   8245.66	   78787.94	   46.00	  -32.00	   6.00	       0	 410.400	        	       0.000	 -54.400	       0.000	               0	               0	10012059	 510500C2608M08750	   A431907445888	    上海	    	
  11	        	     500ETF购8月9000	    认购	    权利	       2	   2	       2	0.01512	      	  176.000	 -126.400	 0.000	0.0612	0.1808	0.0028	-0.0020	0.0004	   4489.63	   48650.47	   28.00	  -20.00	   4.00	       0	 302.400	        	       0.000	-126.400	       0.000	               0	               0	10012060	 510500C2608M09000	   A431907445888	    上海	    	
