序号	成交时间	合约代码	          合约名称	业务类别	业务行为	  订单所有类型	成交价格	成交数量	成交金额	委托价格	委托数量	  合同序号	        成交编号	  成交类型	证券代码	       证券名称	预占用保证金	占用保证金	预释放保证金	释放保证金	          合约标志	    期权合约账户	交易市场	委托来源	
   1	14:49:50	90007076	创业板ETF购9月3600	买入开仓	 限价GFD	个人投资者发起	  0.0638	       1	 638.000	  0.0645	       1	  AD260028	0401000041719953	交易所成交	  159915	创业板ETF易方达	       0.000	     0.000	       0.000	     0.000	159915C2609M003600	0393337920966017	    深圳	        	
   2	14:42:46	10012055	   500ETF购8月7750	卖出平仓	 限价GFD	个人投资者发起	  0.0393	       1	 393.000	  0.0387	       1	SK39000203	   3030001074358	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608M07750	   A431907445888	    上海	        	
   3	14:41:06	10012055	   500ETF购8月7750	卖出平仓	 限价GFD	个人投资者发起	  0.0408	       1	 408.000	  0.0403	       1	SK39000202	   3030001069878	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608M07750	   A431907445888	    上海	        	
   4	14:28:02	10011887	  500ETF购8月7859A	买入开仓	 限价GFD	个人投资者发起	  0.0002	       4	   8.140	  0.0002	       4	SK39000189	   3030001029749	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608A08000	   A431907445888	    上海	        	
   5	13:52:57	10011887	  500ETF购8月7859A	买入开仓	 限价GFD	个人投资者发起	  0.0014	       1	  14.250	  0.0014	       2	SK39000163	   3030000930584	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608A08000	   A431907445888	    上海	        	
   6	13:52:53	10011887	  500ETF购8月7859A	买入开仓	 限价GFD	个人投资者发起	  0.0014	       1	  14.250	  0.0014	       2	SK39000163	   3030000930311	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608A08000	   A431907445888	    上海	        	
   7	11:04:01	10012076	   500ETF购9月8500	买入开仓	 限价GFD	个人投资者发起	  0.0262	       1	 262.000	  0.0268	       1	SK39000094	   3030000627441	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2609M08500	   A431907445888	    上海	        	
   8	10:53:07	10010982	    50ETF沽9月2950	买入开仓	 限价GFD	个人投资者发起	  0.0239	       1	 239.000	  0.0244	       1	SK39000087	   3000000252978	交易所成交	  510050	          50ETF	       0.000	     0.000	       0.000	     0.000	 510050P2609M02950	   A431907445888	    上海	        	
   9	10:53:04	10010975	    50ETF购9月3100	买入开仓	 限价GFD	个人投资者发起	  0.0188	       1	 188.000	  0.0191	       1	SK39000086	   3000000252798	交易所成交	  510050	          50ETF	       0.000	     0.000	       0.000	     0.000	 510050C2609M03100	   A431907445888	    上海	        	
  10	10:52:57	10010975	    50ETF购9月3100	买入开仓	 限价GFD	个人投资者发起	  0.0188	       1	 188.000	  0.0192	       1	SK39000085	   3000000252625	交易所成交	  510050	          50ETF	       0.000	     0.000	       0.000	     0.000	 510050C2609M03100	   A431907445888	    上海	        	
  11	10:52:55	10010982	    50ETF沽9月2950	买入开仓	 限价GFD	个人投资者发起	  0.0240	       1	 240.000	  0.0242	       1	SK39000084	   3000000252488	交易所成交	  510050	          50ETF	       0.000	     0.000	       0.000	     0.000	 510050P2609M02950	   A431907445888	    上海	        	
  12	10:52:11	10012055	   500ETF购8月7750	卖出平仓	 限价GFD	个人投资者发起	  0.0950	       1	 950.000	  0.0950	       1	SK39000083	   3030000562583	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608M07750	   A431907445888	    上海	        	
  13	10:46:56	10011878	   300ETF沽8月4600	卖出平仓	 限价GFD	个人投资者发起	  0.0005	       1	   5.000	  0.0001	       1	SK39000078	   3000000238915	交易所成交	  510300	         300ETF	       0.000	     0.000	       0.000	     0.000	 510300P2608M04600	   A431907445888	    上海	        	
  14	10:06:36	10012056	   500ETF购8月8000	卖出平仓	 限价GFD	个人投资者发起	  0.0005	       4	  20.000	  0.0001	       4	SK39000042	   3030000262423	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2608M08000	   A431907445888	    上海	        	

