序号	自定序号	            合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	 合约市值	浮动盈亏	保证金	 Delta	 Gamma	  Vega	  Theta	   Rho	   ￥Delta	    ￥Gamma	  ￥Vega	 ￥Theta	  ￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
   1	        	      50ETF购8月3100	    认购	    权利	       3	   2	       2	0.01867	      	  390.000	  16.600	 0.000	0.5816	6.2956	0.0050	-0.0020	0.0010	  17616.66	  288805.64	   50.00	  -20.00	  10.00	       0	 373.400	        	       4.600	  21.200	       4.600	               0	               0	10011856	 510050C2608M03100	   A431907445888	    上海	    	
   2	        	      50ETF购8月3200	    认购	    权利	       3	   3	       3	0.01780	      	  195.000	-339.100	 0.000	0.3264	4.4376	0.0042	-0.0018	0.0006	   9886.66	  203571.37	   42.00	  -18.00	   6.00	       0	 534.100	        	       0.000	-339.100	       0.000	               0	               0	10011857	 510050C2608M03200	   A431907445888	    上海	    	
   3	        	      50ETF购8月3300	    认购	    权利	       3	   3	       3	0.00850	      	   81.000	-174.100	 0.000	0.1365	1.9575	0.0021	-0.0009	0.0003	   4134.59	   89798.76	   21.00	   -9.00	   3.00	       0	 255.100	        	       0.000	-174.100	       0.000	               0	               0	10011858	 510050C2608M03300	   A431907445888	    上海	    	
   4	        	     300ETF购8月4900	    认购	    权利	       2	   2	       2	0.03277	      	  434.000	-221.400	 0.000	0.4014	2.8446	0.0064	-0.0028	0.0012	  18922.00	  316060.60	   64.00	  -28.00	  12.00	       0	 655.400	        	       0.000	-221.400	       0.000	               1	               0	10011872	 510300C2608M04900	   A431907445888	    上海	    	
   5	        	     300ETF购8月5000	    认购	    权利	       6	   8	       8	0.01661	      	  824.000	-504.600	 0.000	0.8432	7.0128	0.0168	-0.0072	0.0024	  39748.45	  779185.05	  168.00	  -72.00	  24.00	       0	1328.600	        	       0.000	-504.600	       0.000	               2	               0	10011873	 510300C2608M05000	   A431907445888	    上海	    	
   6	        	     300ETF购8月5250	    认购	    权利	       7	   7	       7	0.00806	      	  196.000	-367.900	 0.000	0.2016	1.7927	0.0056	-0.0028	0.0007	   9503.42	  199185.07	   56.00	  -28.00	   7.00	       0	 563.900	        	       0.000	-367.900	       0.000	               0	               0	10011874	 510300C2608M05250	   A431907445888	    上海	    	
   7	        	     科创50购8月2100	    认购	    权利	       1	   1	       1	0.01347	      	  142.000	   7.300	 0.000	0.1275	0.8839	0.0009	-0.0011	0.0001	   2277.15	   14097.30	    9.00	  -11.00	   1.00	       0	 134.700	        	       0.000	   7.300	       0.000	               0	               0	10011909	 588000C2608M02100	   A431907445888	    上海	    	
   8	        	     科创50购8月2150	    认购	    权利	       2	   2	       2	0.01077	      	  218.000	   2.600	 0.000	0.2008	1.4524	0.0016	-0.0020	0.0002	   3586.29	   23164.30	   16.00	  -20.00	   2.00	       0	 215.400	        	       0.000	   2.600	       0.000	               0	               0	10011910	 588000C2608M02150	   A431907445888	    上海	    	
   9	        	     500ETF购8月8500	    认购	    权利	       1	   2	       2	0.02757	      	  540.000	 -11.400	 0.000	0.2246	0.7490	0.0074	-0.0046	0.0010	  17552.49	  228722.97	   74.00	  -46.00	  10.00	       0	 551.400	        	       0.000	 -11.400	       0.000	               1	               0	10012058	 510500C2608M08500	   A431907445888	    上海	    	
  10	        	     500ETF购8月8750	    认购	    权利	       4	   6	       6	0.01539	      	  756.000	-167.200	 0.000	0.3408	1.2840	0.0132	-0.0084	0.0018	  26633.52	  392096.52	  132.00	  -84.00	  18.00	       0	 923.200	        	       0.000	-167.200	       0.000	               2	               0	10012059	 510500C2608M08750	   A431907445888	    上海	    	
  11	        	     500ETF购8月9000	    认购	    权利	       3	   5	       5	0.01041	      	  335.000	-185.500	 0.000	0.1550	0.6150	0.0065	-0.0045	0.0005	  12113.25	  187803.24	   65.00	  -45.00	   5.00	       0	 520.500	        	       0.000	-185.500	       0.000	               2	               0	10012060	 510500C2608M09000	   A431907445888	    上海	    	
  12	        	  创业板ETF购8月4000	    认购	    权利	       1	   2	       2	0.02817	      	  476.000	 -87.400	 0.000	0.2756	1.2390	0.0038	-0.0036	0.0006	   9811.36	   78512.95	   38.00	  -36.00	   6.00	       0	 563.400	        	       0.000	 -87.400	       0.000	               1	               0	90007698	159915C2608M004000	0393337920966017	    深圳	    	
  13	        	  创业板ETF购8月4100	    认购	    权利	       1	   1	       1	0.02227	      	  153.000	 -69.700	 0.000	0.0943	0.4655	0.0015	-0.0014	0.0002	   3357.08	   29497.80	   15.00	  -14.00	   2.00	       0	 222.700	        	       0.000	 -69.700	       0.000	               0	               0	90007699	159915C2608M004100	0393337920966017	    深圳	    	
  14	        	  创业板ETF购8月4200	    认购	    权利	       5	   5	       5	0.01281	      	  495.000	-145.500	 0.000	0.3210	1.7055	0.0055	-0.0055	0.0005	  11427.60	  108074.12	   55.00	  -55.00	   5.00	       0	 640.500	        	       0.000	-145.500	       0.000	               0	               0	90007700	159915C2608M004200	0393337920966017	    深圳	    	
  15	        	  创业板ETF购8月4300	    认购	    权利	       2	   2	       2	0.01462	      	  128.000	-164.400	 0.000	0.0868	0.4902	0.0016	-0.0016	0.0002	   3090.08	   31062.99	   16.00	  -16.00	   2.00	       0	 292.400	        	       0.000	-164.400	       0.000	               0	               0	90007701	159915C2608M004300	0393337920966017	    深圳	    	
  16	        	  创业板ETF购8月4400	    认购	    权利	       1	   1	       1	0.01647	      	   42.000	-122.700	 0.000	0.0294	0.1748	0.0006	-0.0006	0.0001	   1046.64	   11076.73	    6.00	   -6.00	   1.00	       0	 164.700	        	       0.000	-122.700	       0.000	               0	               0	90007702	159915C2608M004400	0393337920966017	    深圳	    	
  17	        	  创业板ETF购8月4500	    认购	    权利	       1	   1	       1	0.01467	      	   29.000	-117.700	 0.000	0.0207	0.1267	0.0004	-0.0005	0.0000	    736.92	    8028.73	    4.00	   -5.00	   0.00	       0	 146.700	        	       0.000	-117.700	       0.000	               0	               0	90007703	159915C2608M004500	0393337920966017	    深圳	    	
  18	        	 中证500ETF购8月3400	    认购	    权利	       4	   4	       4	0.02157	      	  708.000	-154.800	 0.000	0.6544	4.6864	0.0076	-0.0048	0.0012	  20744.48	  235465.82	   76.00	  -48.00	  12.00	       0	 862.800	        	       0.000	-154.800	       0.000	               0	               0	90007735	159922C2608M003400	0393337920966017	    深圳	    	
  19	        	 中证500ETF购8月3500	    认购	    权利	       1	   2	       2	0.01092	      	  180.000	 -38.400	 0.000	0.1800	1.4634	0.0026	-0.0018	0.0004	   5706.00	   73527.80	   26.00	  -18.00	   4.00	       0	 218.400	        	       0.000	 -38.400	       0.000	               1	               0	90007736	159922C2608M003500	0393337920966017	    深圳	    	
  20	        	 中证500ETF购8月3600	    认购	    权利	       1	   1	       1	0.01117	      	   47.000	 -64.700	 0.000	0.0495	0.4372	0.0008	-0.0006	0.0001	   1569.15	   21966.90	    8.00	   -6.00	   1.00	       0	 111.700	        	       0.000	 -64.700	       0.000	               0	               0	90007737	159922C2608M003600	0393337920966017	    深圳	    	
  21	        	      50ETF购9月3000	    认购	    权利	       0	   1	       1	0.08167	      	  824.000	   7.300	 0.000	0.6421	2.6632	0.0042	-0.0008	0.0026	  19449.21	  122172.18	   42.00	   -8.00	  26.00	       0	 816.700	        	       0.000	   7.300	       0.000	               1	               0	10010974	 510050C2609M03000	   A431907445888	    上海	    	
  22	        	     500ETF购9月8500	    认购	    权利	       0	   1	       1	0.08017	      	  825.000	  23.300	 0.000	0.2115	0.4029	0.0084	-0.0023	0.0022	  16528.72	  123034.03	   84.00	  -23.00	  22.00	       0	 801.700	        	       0.000	  23.300	       0.000	               1	               0	10012076	 510500C2609M08500	   A431907445888	    上海	    	
  23	        	中证500ETF购12月2800	    认购	    权利	       1	   1	       1	0.31017	      	 3763.000	 661.300	 0.000	0.7674	0.4192	0.0060	-0.0010	0.0074	  24326.58	   21062.49	   60.00	  -10.00	  74.00	       0	3101.700	        	       0.000	 661.300	       0.000	               0	               0	90007831	159922C2612M002800	0393337920966017	    深圳	    	
  24	        	     500ETF购3月7000	    认购	    权利	       1	   1	       1	0.65017	      	 8627.000	2125.300	 0.000	0.7190	0.1279	0.0210	-0.0024	0.0258	  56189.85	   39056.97	  210.00	  -24.00	 258.00	       0	6501.700	        	       0.000	2125.300	       0.000	               0	               0	10012200	 510500C2703M07000	   A431907445888	    上海	    	
  25	        	     300ETF购3月4200	    认购	    权利	       1	   1	       1	0.42267	      	 5064.000	 837.300	 0.000	0.8098	0.3141	0.0102	-0.0009	0.0196	  38173.97	   34899.33	  102.00	   -9.00	 196.00	       0	4226.700	        	       0.000	 837.300	       0.000	               0	               0	10012263	 510300C2703M04200	   A431907445888	    上海	    	
  26	        	 中证500ETF购3月2800	    认购	    权利	       1	   1	       1	0.27017	      	 3474.000	 772.300	 0.000	0.7573	0.3629	0.0079	-0.0008	0.0115	  24006.41	   18233.73	   79.00	   -8.00	 115.00	       0	2701.700	        	       0.000	 772.300	       0.000	               0	               0	90007923	159922C2703M002800	0393337920966017	    深圳	    	
  27	    汇总	                    	        	        	        	    	      66	       	      	28946.000	1516.800	      	 9.159	44.404	 0.153	 -0.067	 0.082	398138.530	3678163.390	1518.000	-667.000	822.000	        	        	        	            	        	            	                	                	        	                  	                	        	    	

