序号	自定序号	            合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	合约市值	浮动盈亏	保证金	 Delta	 Gamma	  Vega	  Theta	   Rho	 ￥Delta	  ￥Gamma	￥Vega	￥Theta	￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
   1	        	  创业板ETF购8月4100	    认购	    权利	       0	   1	       1	0.02227	0.0214	  214.00	   -8.70	 0.000	0.1115	0.4558	0.0020	-0.0012	0.0003	 3911.42	 28045.52	 20.00	 -12.00	 3.00	       0	 222.700	 -222.70	       0.000	  -8.700	       0.000	               1	               0	90007699	159915C2608M004100	0393337920966017	    深圳	    	
   2	        	     500ETF购8月8500	    认购	    权利	       0	   1	       1	0.02867	0.0274	  274.00	  -12.70	 0.000	0.0946	0.2632	0.0039	-0.0017	0.0006	 7137.57	 74915.96	 39.00	 -17.00	 6.00	       0	 286.700	 -286.70	       0.000	 -12.700	       0.000	               1	               0	10012058	 510500C2608M08500	   A431907445888	    上海	    	
   3	        	 中证500ETF购8月3300	    认购	    权利	       0	   1	       1	0.03017	0.0288	  288.00	  -13.70	 0.000	0.2064	1.1069	0.0027	-0.0012	0.0006	 6307.58	 51687.45	 27.00	 -12.00	 6.00	       0	 301.700	 -301.70	       0.000	 -13.700	       0.000	               1	               0	90007734	159922C2608M003300	0393337920966017	    深圳	    	
   4	        	     500ETF购8月8250	    认购	    权利	       0	   1	       1	0.05267	0.0507	  507.00	  -19.70	 0.000	0.1606	0.3923	0.0056	-0.0024	0.0011	12117.27	111662.36	 56.00	 -24.00	11.00	       0	 526.700	 -526.70	       0.000	 -19.700	       0.000	               1	               0	10012057	 510500C2608M08250	   A431907445888	    上海	    	
   5	        	     300ETF购8月4900	    认购	    权利	       0	   1	       1	0.03537	0.0328	  328.00	  -25.70	 0.000	0.2394	1.3001	0.0045	-0.0012	0.0010	11254.19	143657.16	 45.00	 -12.00	10.00	       0	 353.700	 -353.70	       0.000	 -25.700	       0.000	               1	               0	10011872	 510300C2608M04900	   A431907445888	    上海	    	
   6	        	 中证500ETF购8月3500	    认购	    权利	       1	   1	       1	0.01267	0.0095	   95.00	  -31.70	 0.000	0.0795	0.5354	0.0014	-0.0006	0.0002	 2429.52	 25000.87	 14.00	  -6.00	 2.00	       0	 126.700	 -126.70	       0.000	 -30.700	       0.000	               0	               0	90007736	159922C2608M003500	0393337920966017	    深圳	    	
   7	        	  创业板ETF购8月4200	    认购	    权利	       1	   1	       1	0.02017	0.0161	  161.00	  -40.70	 0.000	0.0854	0.3623	0.0017	-0.0010	0.0003	 2995.83	 22292.43	 17.00	 -10.00	 3.00	       0	 201.700	 -201.70	       0.000	 -40.700	       0.000	               0	               0	90007700	159915C2608M004200	0393337920966017	    深圳	    	
   8	        	  创业板ETF购8月4300	    认购	    权利	       1	   1	       1	0.01637	0.0115	  115.00	  -48.70	 0.000	0.0632	0.2821	0.0013	-0.0008	0.0002	 2217.06	 17357.70	 13.00	  -8.00	 2.00	       0	 163.700	 -163.70	       0.000	 -48.700	       0.000	               0	               0	90007701	159915C2608M004300	0393337920966017	    深圳	    	
   9	        	 中证500ETF购8月3600	    认购	    权利	       1	   1	       1	0.01117	0.0057	   57.00	  -54.70	 0.000	0.0493	0.3550	0.0010	-0.0004	0.0001	 1506.61	 16576.97	 10.00	  -4.00	 1.00	       0	 111.700	 -111.70	       0.000	 -54.700	       0.000	               0	               0	90007737	159922C2608M003600	0393337920966017	    深圳	    	
  10	        	  创业板ETF购8月4400	    认购	    权利	       1	   1	       1	0.01647	0.0081	   81.00	  -83.70	 0.000	0.0461	0.2164	0.0010	-0.0007	0.0001	 1617.19	 13315.16	 10.00	  -7.00	 1.00	       0	 164.700	 -164.70	       0.000	 -83.700	       0.000	               0	               0	90007702	159915C2608M004400	0393337920966017	    深圳	    	
  11	        	      50ETF购8月3300	    认购	    权利	       2	   2	       2	0.01017	0.0059	  118.00	  -85.40	 0.000	0.1646	1.8908	0.0028	-0.0008	0.0004	 5020.30	 87945.83	 28.00	  -8.00	 4.00	       0	 203.400	 -203.40	       0.000	 -85.400	       0.000	               0	               0	10011858	 510050C2608M03300	   A431907445888	    上海	    	
  12	        	  创业板ETF购8月4500	    认购	    权利	       1	   1	       1	0.01467	0.0061	   61.00	  -85.70	 0.000	0.0352	0.1694	0.0008	-0.0005	0.0001	 1234.82	 10423.24	  8.00	  -5.00	 1.00	       0	 146.700	 -146.70	       0.000	 -85.700	       0.000	               0	               0	90007703	159915C2608M004500	0393337920966017	    深圳	    	
