市场名称,名称,买卖,持仓,可用,开仓均价,最新价,市值,估算浮动盈亏,累计盈亏,盈亏比例,保证金,Delta,Gamma,Rho,Theta,Vega,时间价值,标的代码,剩余天数,￥Delta,￥Gamma,￥Rho,￥Theta,￥Vega,备兑属性,类别,档位,持仓类别,代码,组合,
上海股票期权,科创50购12月1200,买,2,0,0.0301,0.3546,7092.00,6490.00,44031.40,1078.07%,0.00,1.9170,0.7033,0.4691,-0.0004,0.0013,-0.0148,588000,12月(75),29943.80,171.59,4691.14,-3.98,12.65,非备兑,认购,实 7,权利仓,10009278,交组,
上海股票期权,科创50购12月1400,卖,2,0,0.0413,0.1945,-3890.00,-3064.00,-3103.00,--,0.00,-1.5645,-2.3317,-0.4252,0.0011,-0.0042,-0.0650,588000,12月(75),-24438.08,-568.91,-4251.60,10.72,-41.96,非备兑,认购,实 3,义务仓,10009781,交组,
上海股票期权,50ETF购3月3500,买,6,0,0.0659,0.0671,4026.00,72.00,71.80,1.82%,0.00,0.8457,4.8141,1.1640,-0.0012,0.0285,0.4026,510050,3月(166),26597.02,4761.68,11639.58,-12.36,285.40,非备兑,认购,虚 4,权利仓,10009815,交组,
上海股票期权,500ETF沽10月7250,买,5,5,0.0174,0.0203,1015.00,145.00,141.50,16.67%,0.00,-0.4545,3.0584,-0.1249,-0.0083,0.0117,0.1015,510500,10月(12),-34493.55,17619.09,-1248.94,-82.52,117.16,非备兑,认沽,虚 1,权利仓,10009939,,
上海股票期权,500ETF沽10月7500,买,2,1,0.0672,0.0776,1552.00,208.00,1477.00,15.48%,0.00,-0.7091,2.7829,-0.1963,-0.0074,0.0107,0.1552,510500,10月(12),-53817.82,16031.79,-1963.39,-74.02,106.60,非备兑,认沽,平值,权利仓,10009940,,
上海股票期权,50ETF沽11月2950,买,10,10,0.0205,0.0119,1190.00,-860.00,-866.00,-41.95%,0.00,-0.7816,9.7766,-0.3303,-0.0022,0.0167,0.1190,510050,11月(47),-24580.91,9670.05,-3303.20,-21.58,166.59,非备兑,认沽,虚 2,权利仓,10010076,,
上海股票期权,50ETF沽11月3000,买,10,10,0.0170,0.0203,2030.00,330.00,300.00,19.41%,0.00,-1.4372,15.1641,-0.6092,-0.0033,0.0258,0.2030,510050,11月(47),-45198.45,14998.83,-6091.78,-33.13,258.39,非备兑,认沽,虚 1,权利仓,10010077,,
上海股票期权,300ETF购11月5000,买,1,1,0.0362,0.0484,484.00,122.00,126.30,33.70%,0.00,0.2326,1.1756,0.1419,-0.0009,0.0053,0.0484,510300,11月(47),11136.94,2694.96,1419.41,-8.77,53.05,非备兑,认购,虚 2,权利仓,10010090,,
上海股票期权,300ETF沽11月4400,买,5,5,0.0209,0.0138,690.00,-355.00,-365.50,-33.97%,0.00,-0.2607,2.0512,-0.1680,-0.0014,0.0093,0.0690,510300,11月(47),-12482.01,4702.34,-1679.74,-13.85,92.57,非备兑,认沽,虚 4,权利仓,10010093,,
上海股票期权,300ETF沽11月4500,买,5,5,0.0209,0.0253,1265.00,220.00,191.50,21.05%,0.00,-0.5652,3.6884,-0.3655,-0.0025,0.0166,0.1265,510300,11月(47),-27062.75,8455.74,-3654.98,-24.68,166.46,非备兑,认沽,虚 3,权利仓,10010094,,
上海股票期权,50ETF购3月3600,卖,6,0,0.0501,0.0508,-3048.00,-42.00,-43.00,--,0.00,-0.4900,-3.2509,-0.6776,0.0008,-0.0193,-0.3048,510050,3月(166),-15409.42,-3215.43,-6775.88,8.24,-192.72,非备兑,认购,虚 5,义务仓,10010173,交组,
深圳股票期权,中证500ETF购3月2300,买,5,0,0.2008,0.6170,30850.00,20810.00,20811.50,207.27%,0.00,4.9417,0.3897,5.1368,-0.0007,0.0031,-0.5750,159922,3月(166),149833.13,358.28,51368.45,-6.94,31.23,非备兑,认购,实 14,权利仓,90005919,交组,
深圳股票期权,中证500ETF购3月2500,卖,1,0,0.1170,0.4470,-4470.00,-3300.00,-3300.00,--,0.00,-0.9475,-0.2744,-1.0581,0.0002,-0.0022,0.0850,159922,3月(166),-28728.69,-252.22,-10581.33,2.32,-21.98,非备兑,认购,实 10,义务仓,90005923,交组,
深圳股票期权,中证500ETF购3月2600,卖,2,0,0.1105,0.4196,-8392.00,-6182.00,-6182.00,--,0.00,-1.8121,-0.8581,-2.0838,0.0006,-0.0069,0.0248,159922,3月(166),-54943.29,-788.87,-20837.73,6.01,-68.76,非备兑,认购,实 8,义务仓,90005925,交组,
深圳股票期权,中证500ETF购3月2700,卖,2,0,0.0769,0.3101,-6202.00,-4664.00,-4665.00,--,0.00,-1.6942,-1.2090,-1.9973,0.0008,-0.0097,0.0438,159922,3月(166),-51366.67,-1111.42,-19973.28,7.53,-96.87,非备兑,认购,实 6,义务仓,90005927,交组,
深圳股票期权,中证500ETF购12月2900,买,10,0,0.0903,0.1699,16990.00,7960.00,7960.00,88.15%,0.00,7.2431,12.6757,4.1793,-0.0067,0.0462,0.3790,159922,12月(75),219610.53,11652.79,41792.68,-67.15,462.22,非备兑,认购,实 2,权利仓,90006047,交组,
深圳股票期权,中证500ETF购12月3000,卖,10,0,0.0590,0.1180,-11800.00,-5900.00,-7059.80,--,0.00,-5.8148,-14.8197,-3.4066,0.0075,-0.0540,-0.8600,159922,12月(75),-176305.98,-13623.75,-34066.41,75.24,-540.40,非备兑,认购,平值,义务仓,90006119,交组,
深圳股票期权,中证500ETF沽10月3000,买,5,5,0.0231,0.0340,1700.00,545.00,1413.50,47.19%,0.00,-1.8540,17.3310,-0.2053,-0.0077,0.0108,0.1700,159922,10月(12),-56214.62,15932.46,-2052.79,-76.56,108.10,非备兑,认沽,平值,权利仓,90006194,,
深圳股票期权,中证500ETF购12月3200,买,10,0,0.0456,0.0512,5120.00,560.00,560.00,12.28%,0.00,2.9572,13.1058,1.7690,-0.0064,0.0478,0.5120,159922,12月(75),89662.08,12048.23,17689.65,-63.80,477.90,非备兑,认购,虚 2,权利仓,90006261,交组,
深圳股票期权,中证500ETF购12月3300,卖,10,0,0.0315,0.0328,-3280.00,-130.00,-58.00,--,0.00,-1.8653,-10.1797,-1.1238,0.0049,-0.0371,-0.3280,159922,12月(75),-56556.72,-9358.22,-11237.62,49.00,-371.20,非备兑,认购,虚 3,义务仓,90006297,交组,
深圳股票期权,中证500ETF购11月3100,买,2,0,0.0452,0.0556,1112.00,208.00,208.60,23.01%,0.00,0.7990,3.6878,0.3035,-0.0018,0.0085,0.1112,159922,11月(47),24226.80,3390.20,3035.27,-17.91,84.93,非备兑,认购,虚 1,权利仓,90006361,交组,
深圳股票期权,中证500ETF购11月3200,卖,2,0,0.0278,0.0309,-618.00,-62.00,-62.00,--,0.00,-0.4751,-2.9518,-0.1820,0.0014,-0.0068,-0.0618,159922,11月(47),-14405.70,-2713.60,-1820.15,14.13,-67.98,非备兑,认购,虚 2,义务仓,90006362,交组,
